STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1090,2807,614,5551,4937,60,246
AC,1015,CAPIXABA,916,3481,1322,6441,5119,45,199
AC,1023,PORTO ACRE,1431,5889,2011,10537,8526,66,348
AC,1031,SANTA ROSA DO PURUS,359,687,738,2360,1622,23,175
AC,1040,MARECHAL THAUMATURGO,1998,2431,2869,7808,4939,11,183
AC,1058,BRASILÉIA,2827,6534,4325,15326,11001,106,380
AC,1066,PORTO WALTER,1392,1666,1486,4866,3380,6,141
AC,1074,CRUZEIRO DO SUL,9469,16811,16045,48418,32373,338,1265
AC,1082,RODRIGUES ALVES,2208,2949,2879,8695,5816,31,241
AC,1090,MÂNCIO LIMA,2996,3560,2676,10007,7331,70,323
AC,1104,JORDÃO,947,1054,1349,3702,2353,10,134
AC,1112,EPITACIOLÂNDIA,1606,4033,2467,9422,6955,99,293
AC,1120,ACRELÂNDIA,1460,4872,2125,9111,6986,90,250
AC,1139,FEIJÓ,5930,4097,4916,17153,12237,141,874
AC,1392,RIO BRANCO,27394,82959,37313,217034,179721,1878,4886
AC,1457,SENA MADUREIRA,4972,8946,6201,24006,17805,236,1004
AC,1473,TARAUACÁ,5860,6160,6858,21311,14453,233,1268
AC,1490,XAPURI,2505,4056,2640,10790,8150,67,434
AC,1511,PLÁCIDO DE CASTRO,2145,6052,2770,12551,9781,91,354
AC,1538,SENADOR GUIOMARD,2653,7461,3170,15880,12710,144,467
AC,1554,MANOEL URBANO,1260,1812,1371,5077,3706,43,244
AC,1570,ASSIS BRASIL,1315,1935,830,4499,3669,30,222
AL,27006,PARIPUEIRA,2310,2674,1356,7928,6572,256,534
AL,27014,ÁGUA BRANCA,7349,1252,4447,14675,10228,188,1063
AL,27022,PARICONHA,4186,601,2169,7856,5687,116,606
AL,27030,ANADIA,5278,2558,4121,13937,9816,398,1111
AL,27049,ESTRELA DE ALAGOAS,5207,1174,4368,12250,7882,275,915
AL,27057,ARAPIRACA,42408,39372,23985,125965,101980,3356,7852
AL,27065,JEQUIÁ DA PRAIA,3016,1675,2144,8074,5930,160,524
AL,27073,ATALAIA,9512,9154,7060,29788,22728,719,2207
AL,27081,CAMPESTRE,2041,664,751,4287,3536,108,379
AL,27090,BARRA DE SANTO ANTÔNIO,2972,2353,759,7547,6788,312,551
AL,27111,BARRA DE SÃO MIGUEL,1772,1652,919,5219,4300,117,250
AL,27138,BATALHA,5430,1863,2400,11076,8676,162,657
AL,27154,BELÉM,2083,725,1256,4863,3607,132,435
AL,27170,BELO MONTE,2363,513,1169,4675,3506,59,386
AL,27197,BOCA DA MATA,8292,3393,5049,19974,14925,732,1357
AL,27219,BRANQUINHA,2945,1040,950,6053,5103,185,620
AL,27235,CACIMBINHAS,3045,1581,1257,6823,5566,84,609
AL,27251,CAJUEIRO,5003,3643,3452,14012,10560,394,1008
AL,27278,CAMPO ALEGRE,8245,3604,6474,22239,15765,548,1551
AL,27294,CAMPO GRANDE,3988,1012,1698,7579,5881,186,517
AL,27316,CANAPI,6936,703,3994,13218,9224,177,1093
AL,27332,CAPELA,3400,4376,3285,13116,9831,342,1051
AL,27359,CARNEIROS,2610,712,1541,5687,4146,86,453
AL,27375,CHÃ PRETA,2592,876,497,4861,4364,160,536
AL,27391,COITÉ DO NÓIA,3782,997,786,6593,5807,207,607
AL,27413,COLÔNIA LEOPOLDINA,4303,4133,4330,14758,10428,480,911
AL,27430,COQUEIRO SECO,1742,975,764,4184,3420,192,284
AL,27456,CORURIPE,9232,12327,9411,36868,27457,1342,2496
AL,27472,DELMIRO GOUVEIA,18323,3053,9550,35344,25794,735,2163
AL,27499,DOIS RIACHOS,4197,1194,2533,8846,6313,115,673
AL,27510,FEIRA GRANDE,7682,1742,3493,15273,11780,551,1352
AL,27537,FELIZ DESERTO,1184,818,749,3240,2491,116,280
AL,27553,FLEXEIRAS,2565,2356,1749,7782,6033,171,619
AL,27570,GIRAU DO PONCIANO,11679,2242,6966,23759,16793,484,1717
AL,27596,IBATEGUARA,3701,2254,2895,10679,7784,344,900
AL,27618,IGACI,8100,1950,3082,15562,12480,500,1492
AL,27634,IGREJA NOVA,7063,3171,4426,17109,12683,884,1196
AL,27650,INHAPI,6457,617,3972,12618,8646,208,1156
AL,27677,JACARÉ DOS HOMENS,2403,670,1145,4685,3540,53,267
AL,27693,JACUÍPE,2395,756,1430,5390,3960,150,350
AL,27715,JAPARATINGA,1564,1926,1335,5976,4641,274,409
AL,27731,JARAMATAIA,2006,716,378,3764,3386,102,392
AL,27758,JOAQUIM GOMES,4944,2944,4310,14401,10091,452,1227
AL,27774,JUNDIÁ,1265,1055,1079,3921,2842,121,247
AL,27790,JUNQUEIRO,7682,3597,5255,18791,13536,554,1042
AL,27812,LAGOA DA CANOA,5919,1869,3250,12916,9666,347,1005
AL,27839,LIMOEIRO DE ANADIA,8171,1914,4412,16617,12205,443,1336
AL,27855,MACEIÓ,132870,179137,89873,538516,448643,16122,26246
AL,27871,MAJOR ISIDORO,6240,2557,4232,14911,10679,333,1072
AL,27898,MARAGOGI,4950,4478,4037,17432,13395,909,1273
AL,27910,MARAVILHA,2635,2026,2730,8421,5691,165,615
AL,27936,MARECHAL DEODORO,8026,10892,6380,30889,24509,1121,1982
AL,27952,MARIBONDO,3690,2578,881,8844,7963,307,854
AL,27979,MAR VERMELHO,1453,714,564,3268,2704,87,240
AL,27995,MATA GRANDE,8635,1311,5340,17376,12036,379,1334
AL,28010,MATRIZ DE CAMARAGIBE,4038,4945,4898,17159,12261,494,999
AL,28037,MESSIAS,3468,3276,2686,11697,9011,362,915
AL,28053,MINADOR DO NEGRÃO,1929,521,597,3591,2994,44,337
AL,28070,MONTEIRÓPOLIS,2499,867,1406,5410,4004,85,351
AL,28096,MURICI,6554,4616,4269,18903,14634,601,1655
AL,28118,NOVO LINO,2508,2413,1698,8099,6401,377,558
AL,28134,OLHO D'ÁGUA DAS FLORES,4782,3910,3698,14092,10394,310,872
AL,28150,OLHO D'ÁGUA DO CASADO,3394,428,1091,5541,4450,76,409
AL,28177,OLHO D'ÁGUA GRANDE,1749,584,1267,4177,2910,136,345
AL,28193,OLIVENÇA,3513,1757,2547,8788,6241,124,644
AL,28215,OURO BRANCO,4418,818,2100,8338,6238,95,585
AL,28231,PALESTINA,1906,501,1042,3870,2828,60,250
AL,28258,PALMEIRA DOS ÍNDIOS,17680,12958,12906,51373,38467,1280,3510
AL,28274,PÃO DE AÇÚCAR,8549,2232,4557,17743,13186,313,1143
AL,28290,PASSO DE CAMARAGIBE,4394,2082,2482,10685,8203,471,722
AL,28312,PAULO JACINTO,3132,1056,1044,6010,4966,136,432
AL,28339,PENEDO,14316,10090,9871,39416,29545,1045,1975
AL,28355,PIAÇABUÇU,4997,2553,3414,12669,9255,358,858
AL,28371,PILAR,5352,9833,6081,25577,19496,1022,1698
AL,28398,PINDOBA,1205,419,468,2417,1949,35,216
AL,28410,PIRANHAS,7373,1381,2683,13409,10726,232,1155
AL,28436,POÇO DAS TRINCHEIRAS,4330,1163,802,7341,6539,144,686
AL,28452,PORTO CALVO,4286,6384,5470,20010,14540,925,1525
AL,28479,PORTO DE PEDRAS,1842,1820,1676,6474,4798,300,389
AL,28495,PORTO REAL DO COLÉGIO,4873,3614,3449,13946,10497,641,884
AL,28517,QUEBRANGULO,4010,1934,767,7855,7088,165,737
AL,28533,RIO LARGO,16236,11052,3198,39428,36230,1598,2383
AL,28550,ROTEIRO,983,1229,1555,4752,3197,146,408
AL,28576,SANTA LUZIA DO NORTE,2102,1327,1200,5541,4341,169,388
AL,28592,SANTANA DO IPANEMA,13017,6446,7390,30540,23150,469,2028
AL,28614,SANTANA DO MUNDAÚ,3258,1362,2364,8065,5701,237,614
AL,28630,SÃO BRÁS,1978,1126,1372,5422,4050,290,347
