year,cod_microregion,IS_mt,XD_mt,idcluster,income2,income3,income_percapita,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,munic_size,region,sizeagric,sizeinformal,sizemanuf,sizemine,sizenontrade,sizeprim,sizerural,state,wls_b_avghourwage_s0,wls_b_avghourwage_s1,wls_b_avghourwage_s3,wls_b_avghourwage_s4,wls_b_formal_s0,wls_b_migrated_s0,wls_b_occup_skill_s0,wls_b_outmigrated_s0,wls_b_wagehrskill,wls_b_wagehrunskill,wls_b_work_main_s0,wls_b_work_main_s4,wls_se_avghourwage_s0,wls_se_avghourwage_s1,wls_se_avghourwage_s3,wls_se_avghourwage_s4,wls_se_formal_s0,wls_se_migrated_s0,wls_se_occup_skill_s0,wls_se_outmigrated_s0,wls_se_wagehrskill,wls_se_wagehrunskill,wls_se_work_main_s0,wls_se_work_main_s4,wls_wgt,workforce,dstate2,dstate3,dstate4,dstate5,dstate6,dstate7,dstate8,dstate9,dstate10,dstate11,dstate12,dstate13,dstate14,dstate15,dstate16,dstate17,dstate18,dstate19,dstate20,dstate21,dstate22,dstate23,dstate24,dstate25,dstate26,dstate27,Dwls_b_avghourwage_s0
1998,11901,.088575304,.65836084,1191,42607.14945331425,8794754.468347119,206.41499,6.0299954,5.7745748,.014901258,.37551141,.0078029165031642,1,.1988787652354859,.4305359845925937,.0573832027436602,.0025467596157826,.3345033642445047,.2014255248512686,.3471027299899272,11,.09445142,.098610237,.19227606,.32833865,-.23691821,,-.025524734,,.22469363,.10243975,-.037237056,-.081919,.0050213714,.0067461459,.010701567,.0091752512,.0027265509,,.0012852739,,.02077038,.0051899021,.0015194718,.0023618457,.0037652287,744319.4561568499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,11901,.088575304,.65836084,1191,42607.14945331425,8794754.468347119,206.41499,6.0299954,5.7745748,.014901258,.37551141,.0078029165031642,1,.1988787652354859,.4305359845925937,.0573832027436602,.0025467596157826,.3345033642445047,.2014255248512686,.3471027299899272,11,.12682284,.2590695,-.019270107,.13618225,-.22268887,.20798856,-.013343102,.014800365,.13814591,.13474987,-.049402919,-.076969191,.0097006252,.01898911,.020418126,.010060661,.0024156144,.0021701639,.0016194872,.001225046,.023501756,.010547508,.0018450876,.0029838467,.0064391419,744319.4561568499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,11901,.088575304,.65836084,1191,42607.14945331425,8794754.468347119,206.41499,6.0299954,5.7745748,.014901258,.37551141,.0078029165031642,1,.1988787652354859,.4305359845925937,.0573832027436602,.0025467596157826,.3345033642445047,.2014255248512686,.3471027299899272,11,.11346606,.26460028,.047726579,.096535787,-.10626898,-.0014850411,.011872455,-.0084282346,.066198692,.1092841,.015456203,-.070929818,.0039321166,.0083836131,.010476863,.0049721259,.0020220135,.00089505082,.0014098184,.00071032485,.010611605,.004143165,.0015690137,.0020877984,.0085197808,744319.4561568499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0190156921744347
2001,11901,.088575304,.65836084,1191,42607.14945331425,8794754.468347119,206.41499,6.0299954,5.7745748,.014901258,.37551141,.0078029165031642,1,.1988787652354859,.4305359845925937,.0573832027436602,.0025467596157826,.3345033642445047,.2014255248512686,.3471027299899272,11,.13248175,.1298248,.093064241,.14042585,-.058553211,-.014271805,.013104936,-.023556424,.14116342,.11276019,-.019895878,.0018466935,.0033968748,.0084585818,.010083253,.0040368158,.002006392,.00097359298,.0015184869,.00082277739,.009270546,.0036210991,.0014885571,.0018870352,.0094275651,744319.4561568499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,12001,.049159586,.008409082,1201,9176.91262671724,879113.3905302964,95.796204,3.4602704,2.35941,.007198798,.0055518188,.0004708941911263,1,.1808716218729779,.392436602871196,.0535653039856667,0,.2872026569431826,.1808716218729779,.4667170838224863,12,-.20175722,-.036100052,-.15843399,-.077367812,-.43542999,,-.034154382,,-.18262693,-.16069144,-.087203383,-.11009834,.014584794,.015460594,.042146254,.0433915,.008154342,,.0034192067,,.10734316,.014484351,.0048924116,.0070416848,.00032685843,44918.55168569088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,12001,.049159586,.008409082,1201,9176.91262671724,879113.3905302964,95.796204,3.4602704,2.35941,.007198798,.0055518188,.0004708941911263,1,.1808716218729779,.392436602871196,.0535653039856667,0,.2872026569431826,.1808716218729779,.4667170838224863,12,-.11004501,.00051073555,-.02996642,-.069738768,-.29905945,-.0825703,-.041218296,-.0055697653,.058684979,-.084619388,-.10134189,-.15731898,.034893945,.047325082,.14303175,.052380763,.0087757763,.0042516463,.0046069524,.0065164892,.22662669,.035174634,.0078772856,.013018688,.00030933114,44918.55168569088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,12001,.049159586,.008409082,1201,9176.91262671724,879113.3905302964,95.796204,3.4602704,2.35941,.007198798,.0055518188,.0004708941911263,1,.1808716218729779,.392436602871196,.0535653039856667,0,.2872026569431826,.1808716218729779,.4667170838224863,12,-.056944441,-.014782104,-.11045638,-.057815503,-.11324852,-.040008251,.06084308,-.037266348,.099319585,-.1595819,-.030866737,-.053086512,.018450104,.03401652,.06079939,.023196112,.0084385769,.0025699902,.0064217006,.0033498155,.044673104,.019344816,.0067267637,.0090333149,.0004594808,44918.55168569088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0009318478405476
2001,12001,.049159586,.008409082,1201,9176.91262671724,879113.3905302964,95.796204,3.4602704,2.35941,.007198798,.0055518188,.0004708941911263,1,.1808716218729779,.392436602871196,.0535653039856667,0,.2872026569431826,.1808716218729779,.4667170838224863,12,-.057876289,-.17939788,-.22754169,-.012147434,-.17688274,-.054437108,.039836738,-.014114086,.10943715,-.1311378,-.10999356,.040353462,.016190799,.041247275,.070383437,.018460015,.0078148721,.0029472937,.0057837958,.0043374808,.03454249,.018572649,.0056679458,.0072950753,.00056757382,44918.55168569088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,12002,.048759837,.008409082,1201,3427.110806059805,200628.3121538332,58.541531,2.5416837,1.642669,.0017261563,.004797868,.0002620216206226,1,.2457665745215998,.3943161334172944,.0243126163804792,0,.1929944004261561,.2457665745215998,.5143119658393295,12,-.19077802,.04431079,-.021115337,-.22343755,-.45560899,,-.041215084,,-.43255302,-.12395042,-.062752366,-.17134398,.013796512,.014290396,.066988841,.05705893,.0097931195,,.0033332631,,.16502617,.013616119,.0050319834,.0060816039,.00027076268,24994.21723711491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,12002,.048759837,.008409082,1201,3427.110806059805,200628.3121538332,58.541531,2.5416837,1.642669,.0017261563,.004797868,.0002620216206226,1,.2457665745215998,.3943161334172944,.0243126163804792,0,.1929944004261561,.2457665745215998,.5143119658393295,12,-.23341845,-.077084452,-.29718408,-.088367984,-.35988978,-.088743024,-.031700853,.046893422,-.39776564,-.20408066,-.088581607,-.26627043,.038659919,.042708937,.15822333,.095144279,.0068126046,.0049315817,.0069931,.0093163317,.26291186,.038835458,.009571177,.013364015,.00017917791,24994.21723711491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
