,Censo_SumStat_MicroReg,,
,2000 All,2000 IS,2000 XD
Workforce (thousands),231.529,563.017,261.286
PrivEmployment sector,.573,.605,.58
Agriculture sector,.321,.129,.273
Extractive Sector,.007,.006,.014
Manufacture sector,.116,.198,.117
NonTraded sector,.545,.655,.584
Formal,.31,.492,.362
Informal,.69,.508,.638
Skilled,.162,.209,.172
Unskilled,.838,.791,.828
Rural,.299,.121,.237
In migrated,.075,.086,.076
Out migrated,.088,.065,.096
Avg Hourly Wage,1.292,1.766,1.459
Avg Hr Wage Skill,2.239,2.593,2.365
Avg Hr Wage Unkill,.984,1.396,1.144
Avg Hr Wage Unkill,9,9,9
Avg Hr Wage Unkill,9,9,9
