,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,WGT_COORD1,WGT_COORD2,WGT_COORD1_NORM,WGT_COORD2_NORM
0,19,GUAJARA-MIRIM,RO,-6.884031008349772e-05,-1.695023384873414e-06,0.02050747177841535,-0.09178892550913051
1,35,PORTO VELHO,RO,-0.0008392689690918625,-0.00023396057165568044,-1.7153481108757997,-3.371209151291193
2,51,JI-PARANA,RO,-0.00033852127663542805,2.1688047795422175e-06,-0.5871116839358717,-0.037234488462111914
3,78,ARIQUEMES,RO,-6.553017760129578e-05,9.097033605321162e-07,0.027965543179797263,-0.05501208264494924
4,94,CACOAL,RO,-0.0002462028985636009,3.912644854767101e-05,-0.37910881425572945,0.48458050034173256
5,116,PIMENTA BUENO,RO,-5.0919844618017844e-05,9.161021741507142e-06,0.0608841369741964,0.06149051788876004
6,132,VILHENA,RO,-5.077862929657208e-05,-7.751898355776283e-06,0.06120230972286265,-0.17730758478722958
7,159,JARU,RO,-0.0001454931778139329,3.568010930582284e-05,-0.15219938020654744,0.4359207025423366
8,175,OURO PRETO DO OESTE,RO,-4.9448582436894055e-05,7.161717704686542e-06,0.06419904308625475,0.03326180233171726
9,191,PRESIDENTE MEDICI,RO,-6.112502854637247e-05,7.1457850128899204e-06,0.03789080035968306,0.0330368443380846
10,213,COSTA MARQUES,RO,-4.445223871421127e-05,6.960439509815327e-06,0.07545632309845131,0.03041990094692834
11,230,COLORADO DO OESTE,RO,-2.8640455021984928e-05,6.325271574309902e-06,0.11108190980650491,0.021451792719202285
12,256,ESPIGAO DO OESTE,RO,-2.8022472344873623e-05,5.896643688404703e-06,0.11247428879903616,0.0153998794292777
13,272,CEREJEIRAS,RO,-2.8013764799357116e-05,-1.5787919995804445e-06,0.1124939078011583,-0.09014782307857973
14,299,ROLIM DE MOURA,RO,-0.0001593640990623408,3.690514862694529e-05,-0.1834520027616287,0.4532173647334216
15,310,ALTA FLORESTA DO OESTE,RO,-8.62472789627566e-05,2.0989912138483853e-05,-0.018712232412030193,0.228505827327488
16,337,ALVORADA DO OESTE,RO,-5.123593854667829e-05,8.57956392068584e-06,0.06017194460661941,0.053280757327037485
17,353,SANTA LUZIA DO OESTE,RO,-3.2444514476584324e-05,7.363865090048685e-06,0.10251096976708043,0.03611597605261987
18,370,NOVA BRASILANDIA DO OESTE,RO,-6.452280415606665e-05,1.2669041629628367e-05,0.030235259912517614,0.11102120144987614
19,396,MACHADINHO DO OESTE,RO,-4.2958026267116796e-05,5.8107782043289855e-06,0.07882293853731467,0.014187521387928583
20,418,SAO MIGUEL DO GUAPORE,RO,-6.039626619248197e-05,9.813835246861417e-06,0.03953277744041275,0.07070776869957078
21,434,NOVA MAMORE,RO,-4.885612909919772e-05,6.033598665908859e-06,0.06553390183232735,0.017333583874867702
22,450,CABIXI,RO,-1.1509669155780951e-05,1.6584177315888335e-06,0.14967934505687405,-0.04444078151976337
23,477,CANDEIAS DO JAMARI,RO,-5.818983011452133e-05,2.1085745686630787e-06,0.044504106503673965,-0.038084895133401235
24,493,ITAPUA DO OESTE,RO,-2.18504226088256e-05,-1.6012363544827526e-07,0.1263805562586714,-0.07011725995094889
25,515,NOVO HORIZONTE DO OESTE,RO,-3.560397393174449e-05,6.491263617815962e-06,0.09539238030486019,0.023795479369441007
26,531,CASTANHEIRAS,RO,-1.404608985652315e-05,2.498050193377976e-06,0.14396452645315017,-0.03258578323046012
27,558,VALE DO PARAISO,RO,-2.195633202870763e-05,1.972455177499361e-06,0.12614193136380503,-0.04000680170898587
28,566,URUPA,RO,-3.2031322647030904e-05,5.682697168211238e-06,0.10344193376439667,0.012379110525832349
29,574,MIRANTE DA SERRA,RO,-2.7298951171940468e-05,3.853219342435025e-06,0.11410445695609962,-0.013451782730343198
30,582,SERINGUEIRAS,RO,-4.2246833845211224e-05,7.473592965577246e-06,0.0804253287410944,0.037665253666193894
31,590,THEOBROMA,RO,-3.717589124854533e-05,6.402592506825602e-06,0.0918506877445761,0.022543507921289306
32,604,MINISTRO ANDREAZZA,RO,-2.847661800741186e-05,4.95067322136289e-06,0.11145105157332096,0.0020434660235649697
33,612,GOVERNADOR JORGE TEIXEIRA,RO,-2.806624759452746e-05,7.109423585459484e-06,0.11237565862659228,0.032523447489342105
34,620,CACAULANDIA,RO,-1.2060819311823804e-05,2.218731363543852e-06,0.14843754665794232,-0.0365295614912455
35,639,ALTO PARAISO,RO,-2.414745663768771e-05,4.6685870618413435e-06,0.12120510062637552,-0.0019393849150923703
36,647,RIO CRESPO,RO,-8.334537695832014e-06,1.446402274726072e-06,0.15683324516945227,-0.04743428521667628
37,655,CORUMBIARA,RO,-8.945735887337491e-06,9.259309449885156e-07,0.15545615232584162,-0.05478296098192991
38,663,MONTE NEGRO,RO,-2.4519039632058594e-05,1.4324537190132472e-06,0.1203678856452658,-0.047631228655191545
39,671,CAMPO NOVO DE RONDONIA,RO,-3.369826007721317e-05,2.425009749519957e-06,0.0996861510448889,-0.03361706105307034
40,680,CUJUBIM,RO,-2.5538620917342504e-05,1.9749015299625795e-06,0.11807066338420942,-0.03997226099553527
41,698,VALE DO ANARI,RO,-1.9812931694324558e-05,3.727591997230733e-06,0.13097123436648755,-0.015225549265421023
42,701,PARECIS,RO,-1.3088491624810796e-05,2.8418193531269286e-06,0.14612209447326668,-0.02773201329396319
43,710,SAO FELIPE DO OESTE,RO,-1.9164694567282397e-05,3.2334115484189774e-06,0.13243177976897583,-0.02220301695739995
44,728,PRIMAVERA DE RONDONIA,RO,-9.495176223977508e-06,6.629819247203929e-07,0.1542182063271562,-0.05849560946482695
45,736,ALTO ALEGRE DOS PARECIS,RO,-3.3762633934214685e-05,7.0339667750267715e-06,0.09954111007614184,0.03145805233216828
46,744,NOVA UNIAO,RO,-1.0051766126255439e-05,1.063212698327111e-06,0.15296415161641677,-0.05284464269976909
47,752,TEIXEIROPOLIS,RO,-8.452599286819744e-06,7.108343474397951e-07,0.15656724017415927,-0.05781996813925372
48,779,BURITIS,RO,-5.3074119948838304e-05,5.787180273152575e-06,0.05603033147792611,0.013854335802021956
49,787,PIMENTEIRAS DO OESTE,RO,-4.723557659893802e-06,-7.920646267594514e-08,0.16496915727623204,-0.06897476845800786
50,795,SAO FRANCISCO DO GUAPORE,RO,-5.298626786645881e-05,8.21520975733197e-06,0.0562282713207177,0.04813634214559422
51,809,CHUPINGUAIA,RO,-1.0583037647672442e-05,7.506718655857307e-07,0.15176714184065906,-0.057257491423591954
