,NM_CAND,NM_URNA,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS ELEITO
0,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61000,EUCLIDES DA CUNHA PAULISTA,SP,2465
1,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61018,ADAMANTINA,SP,8744
2,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61026,BOREBI,SP,284
3,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61034,ADOLFO,SP,839
4,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61042,TARUMA,SP,2978
5,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61050,AGUAI,SP,6575
6,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61069,MOTUCA,SP,1085
7,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61077,AGUAS DA PRATA,SP,1711
8,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61085,IARAS,SP,458
9,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61093,AGUAS DE LINDOIA,SP,3034
10,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61107,GUATAPARA,SP,915
11,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61115,AGUAS DE SAO PEDRO,SP,762
12,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61123,DIRCE REIS,SP,372
13,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61131,AGUDOS,SP,7670
14,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61140,ESPIRITO SANTO DO TURVO,SP,523
15,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61158,ALFREDO MARCONDES,SP,999
16,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61166,ROSANA,SP,6767
17,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61174,ALTAIR,SP,718
18,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61182,EMBAUBA,SP,692
19,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61190,ALTINOPOLIS,SP,4115
20,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61204,ILHA SOLTEIRA,SP,7257
21,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61212,ALTO ALEGRE,SP,773
22,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61220,ALUMINIO,SP,5578
23,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61239,ALVARES FLORENCE,SP,914
24,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61247,PEDRINHAS PAULISTA,SP,615
25,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61255,ALVARES MACHADO,SP,5174
26,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61263,ARACARIGUAMA,SP,1761
27,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61271,ALVARO DE CARVALHO,SP,521
28,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61280,BERTIOGA,SP,7191
29,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61298,ALVINLANDIA,SP,510
30,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61301,SUZANOPOLIS,SP,438
31,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61310,AMERICANA,SP,72581
32,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61328,SANTO ANTONIO DO ARACANGUA,SP,1947
33,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61336,AMERICO BRASILIENSE,SP,8754
34,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61344,CANITAR,SP,553
35,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61352,AMERICO DE CAMPOS,SP,886
36,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61360,BARRA DO CHAPEU,SP,456
37,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61379,AMPARO,SP,15523
38,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61387,EMILIANOPOLIS,SP,773
39,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61395,ANALANDIA,SP,864
40,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61409,NOVAIS,SP,629
41,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61417,ANDRADINA,SP,13948
42,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61425,NOVA CANAA PAULISTA,SP,353
43,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61433,ANGATUBA,SP,4706
44,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61441,SALTINHO,SP,1691
45,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61450,ANHEMBI,SP,858
46,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61468,UBARANA,SP,963
47,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61476,ANHUMAS,SP,1025
48,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61484,CAJATI,SP,4654
49,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61492,APARECIDA,SP,9732
50,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61506,CAMPINA DO MONTE ALEGRE,SP,904
51,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61514,APARECIDA D OESTE,SP,912
52,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61522,ASPASIA,SP,438
53,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61530,APIAI,SP,3040
54,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61549,VARGEM,SP,1311
55,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61557,ARACATUBA,SP,47944
56,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61565,POTIM,SP,3199
57,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61573,ARACOIABA DA SERRA,SP,5476
58,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61581,ALAMBARI,SP,366
59,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61590,ARAMINA,SP,665
60,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61603,ITAOCA,SP,471
61,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61611,ARANDU,SP,926
62,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61620,TUIUTI,SP,861
63,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61638,ARARAQUARA,SP,54298
64,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61646,ARAPEI,SP,696
