,NM_CAND,NM_URNA,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS ELEITO,QT_VOTOS SUBSTITUÍDO
0,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61000,EUCLIDES DA CUNHA PAULISTA,SP,2047,0
1,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61018,ADAMANTINA,SP,11231,0
2,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61026,BOREBI,SP,948,0
3,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61034,ADOLFO,SP,1487,0
4,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61042,TARUMÃ,SP,4375,0
5,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61050,AGUAÍ,SP,7684,0
6,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61069,MOTUCA,SP,1205,0
7,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61077,ÁGUAS DA PRATA,SP,2779,0
8,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61085,IARAS,SP,923,0
9,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61093,ÁGUAS DE LINDÓIA,SP,6030,0
10,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61107,GUATAPARÁ,SP,1547,0
11,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61115,ÁGUAS DE SÃO PEDRO,SP,1605,0
12,ALOYSIO NUNES FERREIRA FILHO,ALOYSIO NUNES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,61123,DIRCE REIS,SP,785,0
