,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS_NOMINAIS ELEITO
0,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31003,SANTANA DO SÃO FRANCISCO,SE,401
1,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31011,AMPARO DE SÃO FRANCISCO,SE,379
2,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31038,AQUIDABÃ,SE,3788
3,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31054,ARACAJU,SE,191909
4,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31070,ARAUÁ,SE,2076
5,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31097,AREIA BRANCA,SE,3181
6,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31119,BARRA DOS COQUEIROS,SE,7311
7,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31135,BREJO GRANDE,SE,555
8,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31151,BOQUIM,SE,4227
9,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31194,CAMPO DO BRITO,SE,3860
10,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31216,CANHOBA,SE,1113
11,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31232,CANINDÉ DE SÃO FRANCISCO,SE,2165
12,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31259,CAPELA,SE,6443
13,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31275,CARIRA,SE,2809
14,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31291,CARMÓPOLIS,SE,3030
15,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31313,CEDRO DE SÃO JOÃO,SE,1195
16,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31330,CRISTINÁPOLIS,SE,3107
17,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31356,NOSSA SENHORA APARECIDA,SE,1602
18,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31372,CUMBE,SE,1312
19,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31399,DIVINA PASTORA,SE,1093
20,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31410,ESTÂNCIA,SE,11193
21,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31437,FEIRA NOVA,SE,1402
22,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31453,FREI PAULO,SE,2137
23,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31470,GENERAL MAYNARD,SE,774
24,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31496,GARARU,SE,1729
25,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31518,GRACCHO CARDOSO,SE,1401
26,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31534,ILHA DAS FLORES,SE,803
27,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31550,INDIAROBA,SE,1319
28,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31577,ITABAIANA,SE,19312
29,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31593,ITABAIANINHA,SE,8454
30,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31615,ITABI,SE,1388
31,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31631,ITAPORANGA D AJUDA,SE,6152
32,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31658,JAPARATUBA,SE,3595
33,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31674,JAPOATÃ,SE,1590
34,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31690,LAGARTO,SE,13924
35,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31712,LARANJEIRAS,SE,7799
36,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31739,MACAMBIRA,SE,1308
37,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31755,MALHADA DOS BOIS,SE,699
38,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31771,MALHADOR,SE,2671
39,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31798,MARUIM,SE,3816
40,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31810,MOITA BONITA,SE,2239
41,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31836,MONTE ALEGRE DE SERGIPE,SE,1225
42,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31852,MURIBECA,SE,1674
43,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31879,NEÓPOLIS,SE,2442
44,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31895,NOSSA SENHORA DA GLÓRIA,SE,5872
45,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31917,NOSSA SENHORA DAS DORES,SE,6445
46,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31933,NOSSA SENHORA DE LOURDES,SE,1640
47,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31950,NOSSA SENHORA DO SOCORRO,SE,38851
48,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31976,PACATUBA,SE,1078
49,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,31992,PEDRA MOLE,SE,521
50,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32018,PEDRINHAS,SE,1278
51,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32034,PINHÃO,SE,747
52,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32050,PIRAMBU,SE,1782
53,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32077,POÇO REDONDO,SE,1485
54,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32093,POÇO VERDE,SE,2909
55,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32115,PORTO DA FOLHA,SE,4422
56,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32131,PROPRIÁ,SE,5117
57,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32158,RIACHÃO DO DANTAS,SE,2129
