"party","variable","1990","1993","1997","2001","2005","2009"
"DEM","valuepe",1.3041995029233,1.18445829377636,1.43359368902157,1.29482571901388,1.15934991521441,1.1622347838036
"DEM","valuese",0.0395551941749302,0.0423621337197247,0.0483876411831674,0.0539037911960448,0.0639369922439167,0.0659613420344655
"PCDOB","valuepe",-1.56204166919897,-1.47091310717889,-1.50521943646781,-1.44170486143699,-1.13056592453927,-1.12506147941979
"PCDOB","valuese",0.0355096997057231,0.0435152833814362,0.0473222142954263,0.0469358707329315,0.0566654272401818,0.0586141928265645
"PDC","valuepe",1.14933570775007,NA,NA,NA,NA,NA
"PDC","valuese",0.0375183923309092,NA,NA,NA,NA,NA
"PDT","valuepe",-0.793869768550323,-0.639165882627682,-0.786136494765405,-0.744111786209373,-0.489015679893387,-0.521995137828197
"PDT","valuese",0.0319601069805846,0.0416771066054513,0.0435597267003614,0.0473565176612263,0.055074295072972,0.0536855568839607
"PMDB","valuepe",-0.00441256874706871,0.0525926678732827,0.22482205750489,0.345765662765549,0.269448783680364,0.227302661445268
"PMDB","valuese",0.0323898646933879,0.0397842674799461,0.0447122161841267,0.0497705006504529,0.0559763456493799,0.0536979574056433
"PP","valuepe",1.58381635277253,1.28780314211675,1.53736477643612,1.41981509468551,1.16979835672505,0.998096936449869
"PP","valuese",0.0408497922823725,0.0437020022555223,0.0475366409971796,0.0539733331397259,0.0625104362516622,0.0627961289218854
"PPold","valuepe",NA,0.638438317518485,NA,NA,NA,NA
"PPold","valuese",NA,0.0400015290156485,NA,NA,NA,NA
"PPS","valuepe",-1.27743477997086,-0.890352123435307,-0.895722828323725,-0.5993912290597,-0.58061063319998,-0.205667027676357
"PPS","valuese",0.0331870089562179,0.0406233425592354,0.0461573650408951,0.0466126589021005,0.0553640331603419,0.0523607187905277
"PR","valuepe",1.07017490417015,1.13719611257358,1.16206812524974,0.803421659100261,0.761376006252629,0.668050776073234
"PR","valuese",0.0356134580834655,0.0426984679687354,0.0444671045346788,0.0506376034942561,0.0568749121888773,0.0601543285925392
"PRN","valuepe",1.16563736918035,1.51386993096015,NA,NA,NA,NA
"PRN","valuese",0.0371552020341781,0.0443718531891623,NA,NA,NA,NA
"PSB","valuepe",-1.15535797832646,-1.13056399423971,-0.988468237268516,-0.983332431803168,-0.783132527951463,-0.70696405597342
"PSB","valuese",0.0327934951288754,0.0409045187011181,0.0437271618074093,0.0486397491309987,0.0539284499393177,0.0560048987619972
"PSDB","valuepe",-0.407750964285607,-0.270630147412318,0.39194231981469,0.392529616631515,0.315095998311811,0.255952627815041
"PSDB","valuese",0.0324574929284614,0.0397360557983812,0.0443385882261127,0.0484884587653021,0.0570232695517629,0.055181673237929
"PSOL","valuepe",NA,NA,NA,NA,NA,-1.52172762655279
"PSOL","valuese",NA,NA,NA,NA,NA,0.0612949834031419
"PSTU","valuepe",NA,-1.26329631143171,NA,NA,NA,NA
"PSTU","valuese",NA,0.0425119058870148,NA,NA,NA,NA
"PT","valuepe",-1.45215310542421,-1.27592690466925,-1.3592313335679,-1.25969111453918,-0.756905797217899,-0.771795583732595
"PT","valuese",0.0346495857445595,0.043196219995394,0.0463197789487936,0.0490201153911164,0.054687258767456,0.0538187004311445
"PTB","valuepe",0.924206723519526,0.877351000121224,1.07175176173976,0.858390459248821,0.698763009829993,0.573922876156905
"PTB","valuese",0.0349632398144542,0.0415484880448958,0.0450944464477452,0.0507526049099212,0.0580776159773889,0.0619453996817682
"PV","valuepe",NA,NA,NA,NA,NA,-0.334443165300938
"PV","valuese",NA,NA,NA,NA,NA,0.0533952918958956
