STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_PSTU_16,VOTES_PPS_23,VOTES_PCO_29,VOTES_PSB_40,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1243,2,471,0,436,623,533,3721,3188,60,353
AC,1015,CAPIXABA,1199,3,572,1,250,553,869,3682,2813,43,192
AC,1023,PORTO ACRE,2299,9,953,1,1025,1060,2166,8216,6050,84,619
AC,1031,SANTA ROSA,491,0,12,0,48,77,327,1059,732,16,88
AC,1040,MARECHAL THAUMATURGO,1073,4,174,0,153,1473,1447,4782,3335,26,432
AC,1058,BRASILEIA,4548,12,1108,4,939,2257,2400,12234,9834,171,795
AC,1066,PORTO WALTER,1130,5,106,0,144,1137,1203,4134,2931,36,373
AC,1074,CRUZEIRO DO SUL,8362,45,7401,3,3971,7667,10024,40270,30246,408,2389
AC,1082,RODRIGUES ALVES,1277,3,350,0,285,1586,1605,5731,4126,59,566
AC,1090,MANCIO LIMA,1903,4,496,0,572,2067,1551,7337,5786,114,630
AC,1104,JORDAO,860,3,69,0,82,468,838,2655,1817,41,294
AC,1112,EPITACIOLANDIA,2559,6,759,1,635,666,1404,6546,5142,88,428
AC,1120,ACRELANDIA,2032,2,503,1,909,1196,1211,6422,5211,82,486
AC,1139,FEIJO,5729,9,862,2,596,1049,3587,12932,9345,121,977
AC,1392,RIO BRANCO,64418,186,22565,27,29103,18209,32498,175346,142848,1496,6844
AC,1457,SENA MADUREIRA,6055,25,1960,1,2233,2654,4373,18961,14588,257,1403
AC,1473,TARAUACA,5894,17,1194,3,707,2080,4572,16628,12056,414,1747
AC,1490,XAPURI,3023,5,884,1,737,1436,2336,9219,6883,97,700
AC,1511,PLACIDO DE CASTRO,2975,11,1393,2,1395,1325,2201,10127,7926,112,713
AC,1538,SENADOR GUIOMARD,4616,8,1698,2,1334,1419,2734,12827,10093,159,857
AC,1554,MANUEL URBANO,1019,5,272,0,372,661,999,3799,2800,54,417
AC,1570,ASSIS BRASIL,1294,2,193,1,303,587,477,3158,2681,30,271
