STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,61,1534,0,2,1,3,2241,86,843,5140,4297,63,307
AC,1015,CAPIXABA,51,1274,0,7,0,5,2290,73,1009,4983,3974,44,230
AC,1023,PORTO ACRE,69,1931,1,5,1,17,3617,163,1162,7473,6311,61,447
AC,1031,SANTA ROSA,17,607,1,0,0,4,464,9,330,1594,1264,16,146
AC,1040,MARECHAL THAUMATURGO,52,1649,0,0,1,6,2891,22,1550,6539,4989,17,352
AC,1058,BRASILÉIA,124,4787,3,1,2,18,5405,182,2417,13674,11257,126,611
AC,1066,PORTO WALTER,56,1499,1,1,0,8,1457,19,1331,4612,3281,14,226
AC,1074,CRUZEIRO DO SUL,409,10038,6,59,4,34,19755,496,10783,43781,32998,268,1933
AC,1082,RODRIGUES ALVES,59,2356,0,0,1,12,2302,30,1820,7039,5219,43,417
AC,1090,MÂNCIO LIMA,59,2848,4,1,0,12,3201,57,1658,8366,6708,50,476
AC,1104,JORDÃO,25,1488,0,0,0,0,717,15,793,3231,2438,9,184
AC,1112,EPITACIOLÂNDIA,63,3022,1,1,1,11,2925,209,1436,8148,6712,111,369
AC,1120,ACRELÂNDIA,37,2079,1,1,0,6,3471,179,1409,7548,6139,73,292
AC,1139,FEIJÓ,142,6195,7,5,2,40,3440,180,3950,15049,11099,103,987
AC,1392,RIO BRANCO,1533,66466,26,127,14,192,77090,9609,30127,193549,163422,2191,6188
AC,1457,SENA MADUREIRA,180,6124,6,6,3,52,7915,506,4408,20416,16008,176,1043
AC,1473,TARAUACÁ,285,5864,5,4,1,21,5762,318,4981,18876,13895,270,1366
AC,1490,XAPURI,107,3200,1,3,0,6,3631,185,1884,9628,7744,72,539
AC,1511,PLÁCIDO DE CASTRO,89,3424,1,7,1,14,4545,252,2237,11128,8891,79,480
AC,1538,SENADOR GUIOMARD,113,3961,3,6,2,9,5691,380,2651,13641,10990,157,670
AC,1554,MANUEL URBANO,34,1221,1,0,0,8,1659,64,1059,4371,3312,51,274
AC,1570,ASSIS BRASIL,52,1654,2,0,1,13,1420,48,584,4054,3470,24,257
AL,27006,PARIPUEIRA,112,2088,1,2,0,6,1992,765,895,6560,5665,214,485
AL,27014,ÁGUA BRANCA,223,5833,6,0,2,10,2145,736,3256,13550,10294,256,1085
AL,27022,PARICONHA,80,3530,2,0,0,13,858,330,1629,7167,5538,107,618
AL,27030,ANADIA,172,4514,4,4,1,19,2880,553,3307,12769,9462,315,1001
