STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_PSTU_16,VOTES_PCB_21,VOTES_DC_27,VOTES_PRTB_28,VOTES_PCO_29,VOTES_PV_43,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1090,2,0,4,2,0,721,2807,5,614,5551,4937,60,246
AC,1015,CAPIXABA,916,3,2,5,1,0,452,3481,15,1322,6441,5119,45,199
AC,1023,PORTO ACRE,1431,3,1,5,9,0,764,5889,10,2011,10537,8526,66,348
AC,1031,SANTA ROSA DO PURUS,359,2,2,2,0,1,369,687,2,738,2360,1622,23,175
AC,1040,MARECHAL THAUMATURGO,1998,0,0,0,1,0,311,2431,4,2869,7808,4939,11,183
AC,1058,BRASILÉIA,2827,5,0,7,9,1,1109,6534,23,4325,15326,11001,106,380
AC,1066,PORTO WALTER,1392,1,1,2,2,0,160,1666,9,1486,4866,3380,6,141
AC,1074,CRUZEIRO DO SUL,9469,13,11,24,14,2,4340,16811,86,16045,48418,32373,338,1265
AC,1082,RODRIGUES ALVES,2208,2,0,3,0,0,376,2949,6,2879,8695,5816,31,241
AC,1090,MÂNCIO LIMA,2996,4,1,5,6,0,355,3560,11,2676,10007,7331,70,323
AC,1104,JORDÃO,947,2,0,7,1,0,195,1054,3,1349,3702,2353,10,134
AC,1112,EPITACIOLÂNDIA,1606,1,4,4,3,0,899,4033,13,2467,9422,6955,99,293
AC,1120,ACRELÂNDIA,1460,3,0,9,9,0,271,4872,22,2125,9111,6986,90,250
AC,1139,FEIJÓ,5930,8,5,6,1,0,1156,4097,19,4916,17153,12237,141,874
AC,1392,RIO BRANCO,27394,37,19,162,92,9,61635,82959,650,37313,217034,179721,1878,4886
AC,1457,SENA MADUREIRA,4972,11,4,7,9,1,2576,8946,39,6201,24006,17805,236,1004
AC,1473,TARAUACÁ,5860,10,4,51,4,0,837,6160,26,6858,21311,14453,233,1268
AC,1490,XAPURI,2505,1,4,0,2,1,1069,4056,11,2640,10790,8150,67,434
