STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,1833,3558,1352,6902,5550,45,114
AC,1015,CAPIXABA,1462,3496,1883,6941,5058,27,73
AC,1023,PORTO ACRE,3152,5279,2759,11434,8675,79,165
AC,1031,SANTA ROSA DO PURUS,852,693,1173,2783,1610,17,48
AC,1040,MARECHAL THAUMATURGO,2997,2764,2898,8799,5901,18,122
AC,1058,BRASILÉIA,4882,7553,4392,17128,12736,92,209
AC,1066,PORTO WALTER,1777,1775,1796,5444,3648,12,84
AC,1074,CRUZEIRO DO SUL,13506,21388,15515,51461,35946,343,709
AC,1082,RODRIGUES ALVES,2782,3562,3238,9731,6493,43,106
AC,1090,MÂNCIO LIMA,3900,3413,3336,10818,7482,55,114
AC,1104,JORDÃO,1552,1232,1465,4311,2846,9,53
AC,1112,EPITACIOLÂNDIA,2529,4984,2696,10408,7712,62,137
AC,1120,ACRELÂNDIA,2210,4076,2736,9143,6407,38,83
AC,1139,FEIJÓ,7333,4934,5919,18595,12676,70,339
AC,1392,RIO BRANCO,59921,135243,30469,232202,201733,2139,4430
AC,1457,SENA MADUREIRA,5380,10951,9212,25964,16752,87,334
AC,1473,TARAUACÁ,8366,6054,8188,23055,14867,87,360
AC,1490,XAPURI,4114,4167,2844,11344,8500,41,178
AC,1511,PLÁCIDO DE CASTRO,2868,5965,3455,12516,9061,69,159
AC,1538,SENADOR GUIOMARD,3836,8493,3991,16632,12641,95,217
AC,1554,MANOEL URBANO,1764,1981,2109,5992,3883,30,108
AC,1570,ASSIS BRASIL,1966,2116,990,5186,4196,22,92
AL,27006,PARIPUEIRA,3589,2700,1441,8056,6615,111,215
AL,27014,ÁGUA BRANCA,8717,1431,3105,13647,10542,77,317
AL,27022,PARICONHA,4991,562,1351,7146,5795,43,199
AL,27030,ANADIA,5452,2559,3505,12013,8508,136,361
AL,27049,ESTRELA DE ALAGOAS,6268,1235,2808,10714,7906,70,333
AL,27057,ARAPIRACA,63635,41362,18728,128774,110046,1448,3601
AL,27065,JEQUIÁ DA PRAIA,3170,1850,1616,6812,5196,53,123
AL,27073,ATALAIA,12895,7598,6439,28032,21593,366,734
AL,27081,CAMPESTRE,2176,1114,1156,4627,3471,62,119
AL,27090,BARRA DE SANTO ANTÔNIO,4832,2465,2089,9804,7715,145,273
AL,27111,BARRA DE SÃO MIGUEL,2334,2133,940,5610,4670,40,163
