STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_MDB_15,VOTES_PSTU_16,VOTES_CHALLENGER,VOTES_REDE_18,VOTES_PODE_19,VOTES_DC_27,VOTES_NOVO_30,VOTES_PSDB_45,VOTES_PSOL_50,VOTES_PATRI_51,VOTES_PPL_54,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1007,BUJARI,301,1134,131,1,4140,131,30,4,12,617,24,38,1,1691,8684,6993,89,340
AC,1015,CAPIXABA,236,992,104,0,3484,77,18,6,2,616,29,22,2,978,6829,5851,43,220
AC,1023,PORTO ACRE,344,1970,155,3,6031,138,15,4,9,1086,16,60,2,1915,12324,10409,121,455
AC,1031,SANTA ROSA DO PURUS,74,1110,33,1,474,97,4,0,4,304,34,5,2,989,3332,2343,15,186
AC,1040,MARECHAL THAUMATURGO,325,2847,296,2,1982,34,10,1,0,1269,35,13,2,2479,9540,7061,31,214
AC,1058,BRASILÉIA,403,3275,150,4,7608,159,20,4,27,1000,21,60,0,2590,16026,13436,174,531
AC,1066,PORTO WALTER,155,1576,349,1,1623,31,16,1,0,612,12,34,3,1440,6089,4649,28,208
AC,1074,CRUZEIRO DO SUL,2433,6454,1455,12,27455,601,132,7,120,4087,128,262,11,8905,54492,45587,608,1822
AC,1082,RODRIGUES ALVES,280,2072,236,1,4371,63,24,4,1,1046,22,28,3,2482,11011,8529,86,292
AC,1090,MÂNCIO LIMA,334,2764,245,0,4654,80,33,2,7,1085,28,25,1,2677,12425,9748,114,376
AC,1104,JORDÃO,167,1676,48,1,1081,18,15,1,1,378,4,6,2,1213,4794,3581,14,169
AC,1112,EPITACIOLÂNDIA,319,1920,92,2,5567,111,22,0,25,600,25,43,3,1534,10783,9249,151,369
AC,1120,ACRELÂNDIA,267,1130,61,0,4776,33,35,3,7,548,16,18,1,1548,8808,7260,73,292
AC,1139,FEIJÓ,405,6417,75,3,5561,161,20,10,12,1081,48,43,4,5974,20548,14574,148,586
AC,1392,RIO BRANCO,12508,21648,1998,31,140632,7614,967,156,1645,11971,889,2433,55,43550,255579,212029,2793,6689
AC,1457,SENA MADUREIRA,871,3816,317,4,12105,314,49,11,35,1732,62,99,4,7780,28313,20533,245,869
AC,1473,TARAUACÁ,659,6818,175,6,7798,256,33,9,14,1168,107,67,3,7360,25562,18202,247,842
AC,1490,XAPURI,361,3482,82,2,4331,83,9,1,6,574,32,44,1,1832,11399,9567,91,468
AC,1511,PLÁCIDO DE CASTRO,527,1463,107,2,5831,168,32,6,18,1113,39,80,5,1542,11453,9911,131,389
AC,1538,SENADOR GUIOMARD,540,2078,175,1,9070,316,38,7,34,1385,38,130,6,2498,17102,14604,208,578
AC,1554,MANOEL URBANO,202,1720,134,1,1979,52,4,0,1,498,24,25,0,1862,6788,4926,52,234
AC,1570,ASSIS BRASIL,98,1808,40,2,1955,20,5,4,10,345,9,29,2,1135,5727,4592,37,228
AL,27006,PARIPUEIRA,486,2232,254,1,3188,88,25,2,29,371,40,94,3,1720,9425,7705,294,598
AL,27014,ÁGUA BRANCA,849,8092,336,3,668,18,16,3,25,143,25,36,1,3993,14876,10883,107,561
AL,27022,PARICONHA,517,4901,226,1,278,15,10,1,30,80,13,41,1,1766,8279,6513,74,325
AL,27030,ANADIA,506,5219,311,0,1610,27,20,4,20,181,23,54,3,3778,12607,8829,215,636
AL,27049,ESTRELA DE ALAGOAS,424,5461,313,4,702,43,14,2,33,135,29,26,3,3664,11630,7966,182,595
