SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,173,21,538,20,665,0,4,1,0,90,0,62,349,47,0,123,20,0,0,0,204,0,81,0,1,0,72,0,58,8,533,3721,68,3188,100
AC,1015,CAPIXABA,95,3,465,27,202,0,43,7,0,17,0,230,199,103,0,90,2,0,0,0,119,0,197,0,0,0,242,0,4,47,869,3682,52,2813,90
AC,1023,PORTO ACRE,730,9,1009,91,276,0,22,1,0,50,0,404,562,68,0,539,19,0,0,0,180,0,313,0,196,0,237,0,46,33,2166,8216,114,6050,173
AC,1031,SANTA ROSA,2,0,327,2,16,0,0,0,0,0,0,9,0,5,0,52,0,0,0,0,0,0,0,0,61,0,2,0,52,0,327,1059,17,732,45
AC,1040,MARECHAL THAUMATURGO,32,121,544,63,816,0,77,0,0,1,0,73,247,22,0,8,0,0,0,0,22,0,18,0,53,0,387,0,124,0,1447,4782,34,3335,102
AC,1058,BRASILEIA,301,5,1945,1591,1482,0,108,33,0,19,0,190,226,56,0,119,0,0,0,0,164,0,1232,0,4,0,280,0,11,19,2400,12234,169,9834,272
AC,1066,PORTO WALTER,78,22,744,9,606,0,12,0,0,0,0,165,96,110,0,0,0,0,0,0,10,0,17,0,2,0,194,0,238,0,1203,4134,38,2931,112
AC,1074,CRUZEIRO DO SUL,1588,136,6257,2322,2043,0,1040,0,0,122,0,939,2120,1772,0,359,14,0,0,0,639,0,1067,0,43,0,3486,0,1633,18,10024,40270,335,30246,768
AC,1082,RODRIGUES ALVES,127,39,798,99,681,0,51,0,0,4,0,481,167,58,0,121,2,0,0,0,67,0,125,0,1,0,218,0,139,1,1605,5731,50,4126,148
AC,1090,MANCIO LIMA,539,25,1449,108,367,0,25,0,0,29,0,88,137,360,0,87,0,0,0,0,196,0,81,0,1,0,551,0,598,120,1551,7337,60,5786,193
AC,1104,JORDAO,37,0,248,258,23,0,55,0,0,0,0,15,29,0,0,13,0,0,0,0,16,0,2,0,326,0,19,0,250,0,838,2655,33,1817,196
AC,1112,EPITACIOLANDIA,543,27,988,303,310,0,677,2,0,7,0,113,194,26,0,59,1,0,0,0,322,0,296,0,5,0,105,0,28,6,1404,6546,110,5142,143
AC,1120,ACRELANDIA,56,0,547,25,415,0,47,2,0,43,0,471,447,112,0,227,13,0,0,0,83,0,705,0,0,0,887,0,21,27,1211,6422,105,5211,147
AC,1139,FEIJO,84,1,4332,19,39,0,2,0,0,19,0,242,299,1103,0,166,1,0,0,0,41,0,229,0,119,0,199,0,152,1,3587,12932,128,9345,369
AC,1392,RIO BRANCO,12236,662,24510,2915,10384,0,1014,359,0,2027,0,8785,10200,4352,0,15897,826,0,0,0,6589,0,11549,0,489,0,6453,0,1975,1247,32498,175346,1811,142848,2716
AC,1457,SENA MADUREIRA,219,7,2900,101,1075,0,3,24,0,19,0,3016,580,2383,0,463,40,0,0,0,527,0,318,0,124,0,107,0,16,60,4373,18961,184,14588,515
AC,1473,TARAUACA,418,4,2279,1111,204,0,324,8,0,83,0,133,197,334,0,89,31,0,0,0,903,0,207,0,90,0,211,0,2030,1,4572,16628,285,12056,1091
AC,1490,XAPURI,317,6,1844,61,1031,0,93,6,0,75,0,170,325,395,0,130,1,0,0,0,74,0,652,0,3,0,169,0,45,3,2336,9219,81,6883,210
