SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,51,6,664,10,447,0,0,4,0,1,0,65,516,19,0,0,0,0,0,0,43,0,203,0,14,0,123,0,202,0,533,3721,50,3188,322
AC,1015,CAPIXABA,102,9,726,14,96,0,0,34,0,3,0,55,587,26,0,0,0,0,0,0,87,0,93,0,48,0,301,0,47,0,869,3682,31,2813,188
AC,1023,PORTO ACRE,165,21,1246,47,546,0,7,11,0,5,0,55,925,66,0,0,0,0,0,0,123,0,439,0,199,0,283,0,298,0,2166,8216,101,6050,508
AC,1031,SANTA ROSA,8,6,240,0,6,0,0,0,0,0,0,0,12,151,0,0,0,0,0,0,3,0,16,0,39,0,36,0,31,0,327,1059,15,732,59
AC,1040,MARECHAL THAUMATURGO,221,14,505,13,1022,0,0,54,0,0,0,13,465,61,0,0,0,0,0,0,3,0,135,0,71,0,35,0,181,0,1447,4782,21,3335,105
AC,1058,BRASILEIA,76,32,5174,137,1698,0,0,22,0,0,0,99,456,11,0,0,0,0,0,0,51,0,217,0,67,0,182,0,54,0,2400,12234,158,9834,346
AC,1066,PORTO WALTER,88,10,700,44,472,0,0,150,0,0,0,2,221,2,0,0,0,0,0,0,16,0,29,0,0,0,306,0,324,0,1203,4134,22,2931,120
AC,1074,CRUZEIRO DO SUL,2582,61,6322,6008,1584,0,3,202,0,6,0,158,2423,241,0,0,0,0,0,0,909,0,1084,0,55,0,535,0,2025,0,10024,40270,324,30246,1195
AC,1082,RODRIGUES ALVES,229,10,740,528,102,0,1,10,0,0,0,42,379,21,0,0,0,0,0,0,46,0,151,0,7,0,22,0,205,0,1605,5731,33,4126,946
AC,1090,MANCIO LIMA,1493,10,663,583,131,0,0,10,0,0,0,98,324,36,0,0,0,0,0,0,155,0,157,0,10,0,100,0,837,0,1551,7337,60,5786,188
AC,1104,JORDAO,10,0,253,19,81,0,0,13,0,0,0,3,4,16,0,0,0,0,0,0,5,0,3,0,306,0,4,0,276,0,838,2655,20,1817,583
AC,1112,EPITACIOLANDIA,206,14,2292,234,418,0,0,8,0,0,0,33,442,10,0,0,0,0,0,0,59,0,196,0,8,0,206,0,112,0,1404,6546,106,5142,179
AC,1120,ACRELANDIA,128,16,1265,10,304,0,1,31,0,4,0,20,453,32,0,0,0,0,0,0,116,0,247,0,73,0,771,0,622,0,1211,6422,113,5211,375
AC,1139,FEIJO,28,29,4653,31,124,0,14,49,0,0,0,7,1534,71,0,0,0,0,0,0,107,0,168,0,97,0,354,0,144,0,3587,12932,87,9345,460
