SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,1529,0,1125,0,11,0,0,0,99,0,0,0,5,0,0,0,0,0,0,0,0,0,533,3721,40,3188,379
AC,1015,CAPIXABA,0,0,1759,0,607,0,6,0,0,0,86,0,0,0,2,0,0,0,0,0,0,0,0,0,869,3682,36,2813,317
AC,1023,PORTO ACRE,0,0,2922,0,2181,0,24,0,0,0,153,0,0,0,5,0,0,0,0,0,0,0,0,0,2166,8216,84,6050,681
AC,1031,SANTA ROSA,0,0,498,0,58,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,327,1059,20,732,149
AC,1040,MARECHAL THAUMATURGO,0,0,1310,0,1481,0,4,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1447,4782,30,3335,474
AC,1058,BRASILEIA,0,0,6390,0,2098,0,10,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,12234,121,9834,1043
AC,1066,PORTO WALTER,0,0,1267,0,1171,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,4134,26,2931,444
AC,1074,CRUZEIRO DO SUL,0,0,13537,0,12410,0,41,0,0,0,1071,0,0,0,17,0,0,0,0,0,0,0,0,0,10024,40270,377,30246,2793
AC,1082,RODRIGUES ALVES,0,0,1556,0,1790,0,11,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,5731,58,4126,658
AC,1090,MANCIO LIMA,0,0,2468,0,2365,0,4,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,7337,94,5786,764
AC,1104,JORDAO,0,0,849,0,576,0,16,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,838,2655,35,1817,323
AC,1112,EPITACIOLANDIA,0,0,3604,0,677,0,25,0,0,0,146,0,0,0,2,0,0,0,0,0,0,0,0,0,1404,6546,95,5142,593
AC,1120,ACRELANDIA,0,0,3027,0,1286,0,2,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,6422,89,5211,704
