SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1243,2,471,0,436,623,533,3721,60,3188,353
AC,1015,CAPIXABA,1199,3,572,1,250,553,869,3682,43,2813,192
AC,1023,PORTO ACRE,2299,9,953,1,1025,1060,2166,8216,84,6050,619
AC,1031,SANTA ROSA,491,0,12,0,48,77,327,1059,16,732,88
AC,1040,MARECHAL THAUMATURGO,1073,4,174,0,153,1473,1447,4782,26,3335,432
AC,1058,BRASILEIA,4548,12,1108,4,939,2257,2400,12234,171,9834,795
AC,1066,PORTO WALTER,1130,5,106,0,144,1137,1203,4134,36,2931,373
AC,1074,CRUZEIRO DO SUL,8362,45,7401,3,3971,7667,10024,40270,408,30246,2389
AC,1082,RODRIGUES ALVES,1277,3,350,0,285,1586,1605,5731,59,4126,566
AC,1090,MANCIO LIMA,1903,4,496,0,572,2067,1551,7337,114,5786,630
AC,1104,JORDAO,860,3,69,0,82,468,838,2655,41,1817,294
AC,1112,EPITACIOLANDIA,2559,6,759,1,635,666,1404,6546,88,5142,428
AC,1120,ACRELANDIA,2032,2,503,1,909,1196,1211,6422,82,5211,486
AC,1139,FEIJO,5729,9,862,2,596,1049,3587,12932,121,9345,977
AC,1392,RIO BRANCO,64418,186,22565,27,29103,18209,32498,175346,1496,142848,6844
AC,1457,SENA MADUREIRA,6055,25,1960,1,2233,2654,4373,18961,257,14588,1403
AC,1473,TARAUACA,5894,17,1194,3,707,2080,4572,16628,414,12056,1747
AC,1490,XAPURI,3023,5,884,1,737,1436,2336,9219,97,6883,700
AC,1511,PLACIDO DE CASTRO,2975,11,1393,2,1395,1325,2201,10127,112,7926,713
AC,1538,SENADOR GUIOMARD,4616,8,1698,2,1334,1419,2734,12827,159,10093,857
AC,1554,MANUEL URBANO,1019,5,272,0,372,661,999,3799,54,2800,417
AC,1570,ASSIS BRASIL,1294,2,193,1,303,587,477,3158,30,2681,271
AL,27006,PARIPUEIRA,874,8,831,0,1618,897,415,5451,276,5036,532
AL,27014,AGUA BRANCA,2221,17,1375,1,1412,2420,3112,12076,307,8964,1211
AL,27022,PARICONHA,861,8,953,1,484,1390,1572,6119,155,4547,695
AL,27030,ANADIA,1569,33,1753,4,1520,1845,3562,11991,420,8429,1285
AL,27049,ESTRELA DE ALAGOAS,572,2,692,2,852,2398,2726,8564,220,5838,1100
AL,27057,ARAPIRACA,17517,171,9135,96,14368,29414,19055,100480,2782,81425,7942
AL,27065,JEQUIA DA PRAIA,570,6,508,2,1002,1725,1728,6407,198,4679,668
AL,27073,ATALAIA,2161,25,2759,7,3516,6144,5706,23591,755,17885,2518
AL,27081,CAMPESTRE,639,5,110,0,796,548,1103,3665,97,2562,367
AL,27090,BARRA DE SANTO ANTONIO,1022,9,622,1,1624,713,495,5418,243,4923,689
AL,27111,BARRA DE SAO MIGUEL,478,2,388,0,520,1065,234,3087,81,2853,319
AL,27138,BATALHA,1691,9,1050,1,2275,1119,2017,9212,220,7195,830
AL,27154,BELEM,429,1,201,0,1080,822,726,3896,193,3170,444
AL,27170,BELO MONTE,684,6,817,2,557,525,923,4108,170,3185,424
AL,27197,BOCA DA MATA,2412,28,1524,10,2734,3356,3558,15780,643,12222,1515
AL,27219,BRANQUINHA,900,11,206,0,931,1548,1587,6080,201,4493,696
AL,27235,CACIMBINHAS,640,7,557,1,549,2321,1362,6203,168,4841,598
AL,27251,CAJUEIRO,1365,11,1404,2,1379,2730,2404,11021,343,8617,1383
AL,27278,CAMPO ALEGRE,1814,27,2223,2,4321,1618,5079,17608,565,12529,1959
AL,27294,CAMPO GRANDE,750,2,704,0,1027,1188,532,4889,175,4357,511
AL,27316,CANAPI,1965,9,498,1,906,3260,2737,10691,263,7954,1052
AL,27332,CAPELA,1142,9,802,3,1645,3358,2498,11062,384,8564,1221
AL,27359,CARNEIROS,981,4,1014,1,208,417,618,3796,55,3178,498
AL,27375,CHA PRETA,585,5,477,1,444,1483,299,4127,212,3828,621
AL,27391,COITE DO NOIA,743,6,1340,5,845,1170,1762,6927,249,5165,807
AL,27413,COLONIA LEOPOLDINA,1881,17,1215,5,2372,1301,3041,11425,489,8384,1104
AL,27430,COQUEIRO SECO,628,5,396,0,550,484,294,2803,142,2509,304
AL,27456,CORURIPE,3978,36,4426,4,6375,4514,6675,29641,809,22966,2824
AL,27472,DELMIRO GOUVEIA,9753,28,1552,3,2721,4604,7114,29089,1003,21975,2311
