SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,1478,0,774,0,221,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,978,0,0,0,771,0,0,0,533,3721,206,3188,1066
AC,1015,CAPIXABA,0,0,1522,0,270,0,204,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,986,0,0,0,810,0,0,0,869,3682,150,2813,836
AC,1023,PORTO ACRE,0,0,2806,0,1384,0,748,0,0,0,0,0,1687,0,0,0,0,0,0,0,0,0,1844,0,0,0,1351,0,0,0,2166,8216,375,6050,1905
AC,1031,SANTA ROSA,0,0,540,0,63,0,18,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,425,0,0,0,37,0,0,0,327,1059,60,732,306
AC,1040,MARECHAL THAUMATURGO,0,0,1225,0,1483,0,28,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,746,0,0,0,1336,0,0,0,1447,4782,150,3335,1347
AC,1058,BRASILEIA,0,0,5945,0,1630,0,146,0,0,0,0,0,2647,0,0,0,0,0,0,0,0,0,3775,0,0,0,1894,0,0,0,2400,12234,620,9834,3011
AC,1066,PORTO WALTER,0,0,1269,0,1130,0,7,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,1002,0,0,0,1087,0,0,0,1203,4134,153,2931,1129
AC,1074,CRUZEIRO DO SUL,0,0,11038,0,8643,0,1022,0,0,0,0,0,10802,0,0,0,0,0,0,0,0,0,7795,0,0,0,11044,0,0,0,10024,40270,1909,30246,8239
AC,1082,RODRIGUES ALVES,0,0,1536,0,1579,0,46,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,1106,0,0,0,1598,0,0,0,1605,5731,191,4126,1569
AC,1090,MANCIO LIMA,0,0,2311,0,1941,0,36,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,1637,0,0,0,2178,0,0,0,1551,7337,362,5786,1935
AC,1104,JORDAO,0,0,890,0,580,0,284,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,694,0,0,0,81,0,0,0,838,2655,127,1817,756
AC,1112,EPITACIOLANDIA,0,0,3259,0,535,0,359,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,2070,0,0,0,570,0,0,0,1404,6546,444,5142,1696
AC,1120,ACRELANDIA,0,0,2708,0,724,0,53,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,1802,0,0,0,1966,0,0,0,1211,6422,472,5211,1650
AC,1139,FEIJO,0,0,6371,0,983,0,166,0,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,4391,0,0,0,1518,0,0,0,3587,12932,452,9345,3638
AC,1392,RIO BRANCO,0,0,83240,0,29999,0,7327,0,0,0,0,0,45854,0,0,0,0,0,0,0,0,0,55272,0,0,0,29880,0,0,0,32498,175346,6859,142848,27265
AC,1457,SENA MADUREIRA,0,0,8612,0,1983,0,1662,0,0,0,0,0,4439,0,0,0,0,0,0,0,0,0,4946,0,0,0,1677,0,0,0,4373,18961,1022,14588,4835
AC,1473,TARAUACA,0,0,6598,0,1819,0,326,0,0,0,0,0,2425,0,0,0,0,0,0,0,0,0,4417,0,0,0,1845,0,0,0,4572,16628,1531,12056,5151
AC,1490,XAPURI,0,0,3653,0,1731,0,1019,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,2813,0,0,0,774,0,0,0,2336,9219,406,6883,2175
AC,1511,PLACIDO DE CASTRO,0,0,3997,0,1555,0,183,0,0,0,0,0,1623,0,0,0,0,0,0,0,0,0,2414,0,0,0,3078,0,0,0,2201,10127,524,7926,2478
AC,1538,SENADOR GUIOMARD,0,0,5625,0,1869,0,908,0,0,0,0,0,2681,0,0,0,0,0,0,0,0,0,3804,0,0,0,1821,0,0,0,2734,12827,565,10093,2913
AC,1554,MANUEL URBANO,0,0,1435,0,689,0,118,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,1021,0,0,0,418,0,0,0,999,3799,201,2800,1095
AC,1570,ASSIS BRASIL,0,0,1530,0,485,0,39,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,1055,0,0,0,458,0,0,0,477,3158,150,2681,953
AL,27006,PARIPUEIRA,0,45,0,0,3405,7,0,0,92,0,0,0,0,93,0,0,0,0,0,0,332,0,0,0,0,0,3099,0,375,0,415,5451,982,5036,1642
AL,27014,AGUA BRANCA,0,146,0,0,5790,36,0,0,28,0,0,0,0,832,0,0,0,0,0,0,192,0,0,0,0,0,5983,0,397,0,3112,12076,1210,8964,3314
AL,27022,PARICONHA,0,25,0,0,2566,8,0,0,9,0,0,0,0,823,0,0,0,0,0,0,93,0,0,0,0,0,2990,0,175,0,1572,6119,544,4547,1861
AL,27030,ANADIA,0,507,0,0,4752,27,0,0,812,0,0,0,0,686,0,0,0,0,0,0,223,0,0,0,0,0,4226,0,658,0,3562,11991,1575,8429,3392
AL,27049,ESTRELA DE ALAGOAS,0,61,0,0,4049,8,0,0,18,0,0,0,0,675,0,0,0,0,0,0,102,0,0,0,0,0,3340,0,116,0,2726,8564,787,5838,2520
AL,27057,ARAPIRACA,0,4374,0,0,55788,678,0,0,616,0,0,0,0,2245,0,0,0,0,0,0,3309,0,0,0,0,0,55685,0,6266,0,19055,100480,9520,81425,24369
AL,27065,JEQUIA DA PRAIA,0,19,0,0,3243,24,0,0,49,0,0,0,0,116,0,0,0,0,0,0,172,0,0,0,0,0,3292,0,226,0,1728,6407,617,4679,1600
AL,27073,ATALAIA,0,204,0,0,12036,120,0,0,374,0,0,0,0,761,0,0,0,0,0,0,936,0,0,0,0,0,11069,0,940,0,5706,23591,2595,17885,6735
AL,27081,CAMPESTRE,0,122,0,0,1418,3,0,0,11,0,0,0,0,326,0,0,0,0,0,0,247,0,0,0,0,0,1496,0,128,0,1103,3665,453,2562,920
AL,27090,BARRA DE SANTO ANTONIO,0,54,0,0,3166,8,0,0,69,0,0,0,0,145,0,0,0,0,0,0,421,0,0,0,0,0,2826,0,483,0,495,5418,777,4923,1897
AL,27111,BARRA DE SAO MIGUEL,0,135,0,0,2013,4,0,0,43,0,0,0,0,56,0,0,0,0,0,0,229,0,0,0,0,0,1888,0,208,0,234,3087,285,2853,845
AL,27138,BATALHA,0,275,0,0,4306,19,0,0,103,0,0,0,0,453,0,0,0,0,0,0,486,0,0,0,0,0,4544,0,645,0,2017,9212,998,7195,2561
AL,27154,BELEM,0,24,0,0,2327,3,0,0,11,0,0,0,0,49,0,0,0,0,0,0,80,0,0,0,0,0,2138,0,94,0,726,3896,526,3170,1088
AL,27170,BELO MONTE,0,24,0,0,2149,3,0,0,27,0,0,0,0,22,0,0,0,0,0,0,98,0,0,0,0,0,2098,0,118,0,923,4108,831,3185,1000
AL,27197,BOCA DA MATA,0,537,0,0,7984,56,0,0,98,0,0,0,0,181,0,0,0,0,0,0,677,0,0,0,0,0,7922,0,598,0,3558,15780,2317,12222,4074
AL,27219,BRANQUINHA,0,62,0,0,3098,13,0,0,13,0,0,0,0,97,0,0,0,0,0,0,172,0,0,0,0,0,2818,0,155,0,1587,6080,641,4493,1917
AL,27235,CACIMBINHAS,0,35,0,0,3312,5,0,0,11,0,0,0,0,276,0,0,0,0,0,0,177,0,0,0,0,0,3446,0,159,0,1362,6203,460,4841,1801
AL,27251,CAJUEIRO,0,53,0,0,4600,42,0,0,58,0,0,0,0,1671,0,0,0,0,0,0,333,0,0,0,0,0,5711,0,553,0,2404,11021,1101,8617,3112
AL,27278,CAMPO ALEGRE,0,177,0,0,8341,23,0,0,52,0,0,0,0,277,0,0,0,0,0,0,391,0,0,0,0,0,8555,0,245,0,5079,17608,2177,12529,4820
