SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,64,55,810,2,1164,0,0,102,0,0,261,271,12,0,9,2,0,1,320,49,182,0,68,118,9,4,75,32,843,5140,60,4297,95
AC,1015,CAPIXABA,0,156,70,376,3,380,0,0,141,0,0,300,222,32,0,93,1,0,2,190,95,587,5,88,299,12,0,197,17,1009,4983,53,3974,97
AC,1023,PORTO ACRE,0,139,141,1021,12,251,0,0,178,0,0,347,789,27,1,23,36,0,7,518,240,510,3,382,262,48,0,314,28,1162,7473,89,6311,148
AC,1031,SANTA ROSA,0,2,3,680,0,18,0,0,0,0,0,3,67,0,0,0,0,0,7,6,32,12,163,2,14,0,0,0,3,330,1594,14,1264,60
AC,1040,MARECHAL THAUMATURGO,0,39,51,2212,0,1206,0,0,1,0,0,6,216,0,0,0,0,0,0,7,7,55,99,4,44,2,0,265,2,1550,6539,19,4989,103
AC,1058,BRASILÉIA,0,223,73,2320,4,1909,0,0,180,0,0,237,1283,45,9,3,0,0,0,103,96,2073,13,248,209,374,0,129,17,2417,13674,156,11257,192
AC,1066,PORTO WALTER,0,66,63,1013,2,473,0,0,0,0,0,1,396,0,0,0,0,0,1,1,2,201,30,2,28,2,1,357,5,1331,4612,26,3281,93
AC,1074,CRUZEIRO DO SUL,0,2600,916,4420,1940,3700,0,0,266,0,0,153,5765,29,0,149,3,0,2,905,273,1639,859,330,1996,143,2,2132,509,10783,43781,390,32998,670
AC,1082,RODRIGUES ALVES,0,2210,106,364,27,294,0,0,7,0,0,7,505,0,0,4,0,0,0,37,3,68,523,23,57,6,0,163,5,1820,7039,32,5219,121
AC,1090,MÂNCIO LIMA,0,1017,72,1498,29,855,0,0,27,0,0,15,769,0,0,17,0,0,0,68,26,77,99,29,393,12,0,725,38,1658,8366,46,6708,130
AC,1104,JORDÃO,0,19,217,263,4,446,0,0,4,0,0,2,8,0,0,0,0,0,0,0,3,37,503,1,22,0,0,512,0,793,3231,16,2438,76
AC,1112,EPITACIOLÂNDIA,0,848,41,758,0,835,0,0,48,0,0,104,855,16,1,2,4,0,0,38,75,1436,3,180,108,90,0,64,12,1436,8148,145,6712,139
AC,1120,ACRELÂNDIA,0,51,20,376,3,322,0,0,101,0,0,122,223,17,0,52,5,0,3,106,17,2203,7,24,1565,24,2,71,9,1409,7548,70,6139,150
AC,1139,FEIJÓ,0,39,132,4964,3,50,0,0,10,0,0,74,837,6,0,0,4,0,5,18,249,154,231,601,36,1452,0,162,7,3950,15049,126,11099,431
AC,1392,RIO BRANCO,0,6589,6334,29746,489,9407,0,0,6538,0,0,11610,15018,869,40,813,557,0,377,8135,7446,13793,374,8242,7238,1962,78,5535,3367,30127,193549,2877,163422,2665
AC,1457,SENA MADUREIRA,0,51,131,4321,94,1625,0,0,100,0,0,379,721,17,0,8,9,0,9,571,236,1038,9,1046,1388,105,1,57,1785,4408,20416,169,16008,435
AC,1473,TARAUACÁ,0,842,1956,2212,112,1739,0,0,51,0,0,152,360,10,0,1,6,0,8,15,117,1253,268,48,134,51,1,1718,58,4981,18876,214,13895,588
AC,1490,XAPURI,0,75,82,2029,8,509,0,0,76,0,0,209,186,28,1,3,0,0,0,123,969,1521,2,100,346,15,0,12,50,1884,9628,82,7744,210
