SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,256,326,877,0,534,0,0,0,0,0,228,173,2,0,9,1,0,0,749,0,37,0,0,299,11,0,175,0,843,5140,75,4297,101
AC,1015,CAPIXABA,0,515,174,1039,0,362,0,0,0,0,0,108,188,11,0,17,0,0,0,314,0,47,1,0,282,2,0,357,0,1009,4983,69,3974,92
AC,1023,PORTO ACRE,0,798,371,764,0,1283,0,0,0,0,0,509,329,6,0,3,0,0,0,529,0,83,0,0,247,33,0,438,0,1162,7473,99,6311,207
AC,1031,SANTA ROSA,0,13,18,424,0,20,0,0,0,0,0,65,56,0,0,0,0,0,0,144,0,0,0,0,75,7,0,209,0,330,1594,17,1264,65
AC,1040,MARECHAL THAUMATURGO,0,1220,250,1261,0,419,0,0,0,0,0,296,559,0,0,0,0,0,0,30,0,43,0,0,129,0,0,293,0,1550,6539,14,4989,90
AC,1058,BRASILÉIA,0,1289,135,4133,1,478,0,0,0,0,0,368,2558,6,0,0,0,0,0,290,0,23,0,0,138,27,0,332,0,2417,13674,177,11257,209
AC,1066,PORTO WALTER,0,443,106,1219,0,141,0,0,0,0,0,144,336,7,0,0,0,0,0,0,0,0,0,0,151,6,0,261,0,1331,4612,23,3281,98
AC,1074,CRUZEIRO DO SUL,0,9898,298,5969,9,2068,0,0,0,0,0,196,9431,28,0,2,0,0,0,442,0,233,0,0,370,12,0,926,0,10783,43781,345,32998,630
AC,1082,RODRIGUES ALVES,0,2195,199,1102,0,243,0,0,0,0,0,26,494,0,0,0,0,0,0,127,0,20,0,0,21,3,0,184,0,1820,7039,25,5219,97
AC,1090,MÂNCIO LIMA,0,3231,45,812,0,396,0,0,0,0,0,31,558,0,0,0,1,0,0,200,0,10,0,0,83,0,0,724,0,1658,8366,45,6708,120
AC,1104,JORDÃO,0,29,232,285,0,107,0,0,0,0,0,376,224,1,0,0,0,0,0,149,0,1,0,0,3,0,0,678,0,793,3231,9,2438,90
AC,1112,EPITACIOLÂNDIA,0,885,91,2555,0,177,0,0,0,0,0,296,1138,1,0,0,0,0,0,244,0,20,0,0,124,10,0,188,0,1436,8148,159,6712,143
AC,1120,ACRELÂNDIA,0,556,66,810,0,856,0,0,0,0,0,308,117,3,0,2,0,0,0,1355,0,20,2,0,687,25,0,560,0,1409,7548,164,6139,96
