SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,0,1809,0,0,0,0,0,0,0,0,1606,0,1,1,0,0,0,0,0,0,0,0,481,10,2,0,0,843,5140,49,4297,338
AC,1015,CAPIXABA,0,0,0,1509,0,0,0,0,0,0,0,0,1061,0,2,14,0,0,0,0,0,0,0,0,1064,9,0,0,0,1009,4983,47,3974,268
AC,1023,PORTO ACRE,0,0,0,2250,0,0,0,0,0,0,0,0,2466,0,7,1,0,0,0,0,0,0,0,0,1030,24,2,0,0,1162,7473,61,6311,470
AC,1031,SANTA ROSA,0,0,0,673,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,45,0,2,0,0,330,1594,16,1264,141
AC,1040,MARECHAL THAUMATURGO,0,0,0,1958,0,0,0,0,0,0,0,0,2570,0,0,2,0,0,0,0,0,0,0,0,123,2,1,0,0,1550,6539,18,4989,315
AC,1058,BRASILÉIA,0,0,0,5784,0,0,0,0,0,0,0,0,4060,0,2,4,0,0,0,0,0,0,0,0,672,27,4,0,0,2417,13674,143,11257,561
AC,1066,PORTO WALTER,0,0,0,1691,0,0,0,0,0,0,0,0,1228,0,1,0,0,0,0,0,0,0,0,0,86,1,0,0,0,1331,4612,15,3281,259
AC,1074,CRUZEIRO DO SUL,0,0,0,12017,0,0,0,0,0,0,0,0,15549,0,4,17,0,0,0,0,0,0,0,0,3235,23,9,0,0,10783,43781,287,32998,1857
AC,1082,RODRIGUES ALVES,0,0,0,2668,0,0,0,0,0,0,0,0,1966,0,1,0,0,0,0,0,0,0,0,0,146,0,0,0,0,1820,7039,26,5219,412
AC,1090,MÂNCIO LIMA,0,0,0,2979,0,0,0,0,0,0,0,0,3025,0,1,0,0,0,0,0,0,0,0,0,222,2,2,0,0,1658,8366,47,6708,430
AC,1104,JORDÃO,0,0,0,1560,0,0,0,0,0,0,0,0,628,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,793,3231,14,2438,200
AC,1112,EPITACIOLÂNDIA,0,0,0,3685,0,0,0,0,0,0,0,0,1951,0,1,3,0,0,0,0,0,0,0,0,521,25,0,0,0,1436,8148,144,6712,382
AC,1120,ACRELÂNDIA,0,0,0,2284,0,0,0,0,0,0,0,0,719,0,1,6,0,0,0,0,0,0,0,0,2665,25,7,0,0,1409,7548,81,6139,351
AC,1139,FEIJÓ,0,0,0,7179,0,0,0,0,0,0,0,0,2175,0,2,3,0,0,0,0,0,0,0,0,522,36,7,0,0,3950,15049,127,11099,1048
AC,1392,RIO BRANCO,0,0,0,87414,0,0,0,0,0,0,0,0,50768,0,546,225,0,0,0,0,0,0,0,0,15896,742,163,0,0,30127,193549,1854,163422,5814
AC,1457,SENA MADUREIRA,0,0,0,7726,0,0,0,0,0,0,0,0,4822,0,5,1,0,0,0,0,0,0,0,0,2013,43,30,0,0,4408,20416,202,16008,1166
AC,1473,TARAUACÁ,0,0,0,6918,0,0,0,0,0,0,0,0,4379,0,1,1,0,0,0,0,0,0,0,0,839,18,9,0,0,4981,18876,264,13895,1466
AC,1490,XAPURI,0,0,0,3733,0,0,0,0,0,0,0,0,2865,0,3,5,0,0,0,0,0,0,0,0,476,9,4,0,0,1884,9628,72,7744,577
AC,1511,PLÁCIDO DE CASTRO,0,0,0,3888,0,0,0,0,0,0,0,0,2007,0,2,9,0,0,0,0,0,0,0,0,2338,22,7,0,0,2237,11128,96,8891,522
AC,1538,SENADOR GUIOMARD,0,0,0,5022,0,0,0,0,0,0,0,0,3379,0,25,4,0,0,0,0,0,0,0,0,1683,42,5,0,0,2651,13641,160,10990,670
AC,1554,MANUEL URBANO,0,0,0,1449,0,0,0,0,0,0,0,0,1130,0,4,4,0,0,0,0,0,0,0,0,383,5,4,0,0,1059,4371,50,3312,283
AC,1570,ASSIS BRASIL,0,0,0,1765,0,0,0,0,0,0,0,0,1126,0,1,1,0,0,0,0,0,0,0,0,277,3,3,0,0,584,4054,32,3470,262
AL,27006,PARIPUEIRA,0,0,0,488,1414,0,0,0,15,0,0,0,0,0,7,2,34,0,0,0,0,0,0,0,2759,165,0,0,0,895,6560,285,5665,496
AL,27014,ÁGUA BRANCA,0,0,0,746,3112,0,0,0,6,0,0,0,0,0,3,2,76,0,0,0,0,0,0,0,4537,84,0,0,0,3256,13550,419,10294,1309
AL,27022,PARICONHA,0,0,0,374,1844,0,0,0,1,0,0,0,0,0,2,0,66,0,0,0,0,0,0,0,2321,49,0,0,0,1629,7167,201,5538,680
AL,27030,ANADIA,0,0,0,552,2228,0,0,0,14,0,0,0,0,0,0,3,163,0,0,0,0,0,0,0,5056,133,0,0,0,3307,12769,369,9462,944
AL,27049,ESTRELA DE ALAGOAS,0,0,0,510,2277,0,0,0,4,0,0,0,0,0,6,1,113,0,0,0,0,0,0,0,3463,25,0,0,0,3056,10672,281,7616,936
AL,27057,ARAPIRACA,0,0,0,3839,12703,0,0,0,109,0,0,0,0,0,82,12,926,0,0,0,0,0,0,0,62467,2136,0,0,0,18025,110124,3124,92099,6701
AL,27065,JEQUIÁ DA PRAIA,0,0,0,331,1644,0,0,0,1,0,0,0,0,0,2,2,89,0,0,0,0,0,0,0,2774,113,0,0,0,1605,7376,254,5771,561
AL,27073,ATALAIA,0,0,0,1042,10078,0,0,0,25,0,0,0,0,0,6,0,299,0,0,0,0,0,0,0,6737,248,0,0,0,5719,27003,823,21284,2026
AL,27081,CAMPESTRE,0,0,0,226,825,0,0,0,2,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,1758,17,0,0,0,1038,4321,108,3283,324
AL,27090,BARRA DE SANTO ANTÔNIO,0,0,0,673,1515,0,0,0,15,0,0,0,0,0,11,0,57,0,0,0,0,0,0,0,3004,189,0,0,0,1186,7694,389,6508,655
AL,27111,BARRA DE SÃO MIGUEL,0,0,0,248,1832,0,0,0,0,0,0,0,0,0,11,3,27,0,0,0,0,0,0,0,1388,109,0,0,0,641,4716,135,4075,322
AL,27138,BATALHA,0,0,0,343,2377,0,0,0,4,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,4573,75,0,0,0,1548,9944,170,8396,832
AL,27154,BELÉM,0,0,0,209,1284,0,0,0,10,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,1499,35,0,0,0,887,4571,181,3684,415
AL,27170,BELO MONTE,0,0,0,120,1214,0,0,0,1,0,0,0,0,0,1,1,19,0,0,0,0,0,0,0,1359,40,0,0,0,723,3965,121,3242,366
AL,27197,BOCA DA MATA,0,0,0,851,3532,0,0,0,19,0,0,0,0,0,2,4,197,0,0,0,0,0,0,0,7636,213,0,0,0,3836,18414,864,14578,1260
