SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,0,2048,0,0,0,0,0,0,0,0,0,187,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,843,5140,110,4297,1926
AC,1015,CAPIXABA,0,0,0,1888,0,0,0,0,0,0,0,0,0,547,0,22,0,0,0,0,0,0,0,0,0,14,0,0,0,1009,4983,89,3974,1414
AC,1023,PORTO ACRE,0,0,0,2767,0,0,0,0,0,0,0,0,0,538,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,1162,7473,153,6311,2828
AC,1031,SANTA ROSA,0,0,0,858,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1594,16,1264,389
AC,1040,MARECHAL THAUMATURGO,0,0,0,2288,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1550,6539,34,4989,2643
AC,1058,BRASILÉIA,0,0,0,6421,0,0,0,0,0,0,0,0,0,186,0,1,0,0,0,0,0,0,0,0,0,56,0,0,0,2417,13674,286,11257,4307
AC,1066,PORTO WALTER,0,0,0,1732,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1331,4612,23,3281,1496
AC,1074,CRUZEIRO DO SUL,0,0,0,14122,0,0,0,0,0,0,0,0,0,1914,0,26,0,0,0,0,0,0,0,0,0,71,0,0,0,10783,43781,653,32998,16212
AC,1082,RODRIGUES ALVES,0,0,0,2939,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1820,7039,46,5219,2152
AC,1090,MÂNCIO LIMA,0,0,0,3342,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1658,8366,112,6708,3096
AC,1104,JORDÃO,0,0,0,1541,0,0,0,0,0,0,0,0,0,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,793,3231,12,2438,830
AC,1112,EPITACIOLÂNDIA,0,0,0,4243,0,0,0,0,0,0,0,0,0,174,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,1436,8148,224,6712,2038
AC,1120,ACRELÂNDIA,0,0,0,2961,0,0,0,0,0,0,0,0,0,1695,0,13,0,0,0,0,0,0,0,0,0,34,0,0,0,1409,7548,219,6139,1217
