SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,9,211,90,1085,28,167,0,22,44,26,0,72,72,573,259,52,0,0,107,55,154,41,120,416,0,387,92,614,5551,51,4937,327
AC,1015,CAPIXABA,11,120,263,637,25,388,0,31,280,154,0,233,79,361,239,40,0,2,130,84,456,28,70,498,3,231,26,1322,6441,48,5119,176
AC,1023,PORTO ACRE,42,169,268,1178,64,572,0,72,135,239,0,84,371,140,301,268,0,5,1483,418,153,52,177,825,2,288,23,2011,10537,69,8526,376
AC,1031,SANTA ROSA DO PURUS,3,11,23,82,0,61,0,4,29,37,0,34,28,2,111,5,0,0,31,3,17,528,31,90,0,97,59,738,2360,29,1622,75
AC,1040,MARECHAL THAUMATURGO,0,278,1,1293,35,745,0,2,53,153,0,10,522,111,5,1,0,0,90,2,77,151,2,229,0,624,0,2869,7808,13,4939,86
AC,1058,BRASILÉIA,31,1218,158,1561,38,2536,0,53,9,92,0,81,98,281,152,56,0,0,177,136,1015,138,473,221,121,820,84,4325,15326,116,11001,324
AC,1066,PORTO WALTER,0,185,3,762,4,703,0,0,171,53,0,8,348,2,8,0,0,0,56,4,132,29,3,118,0,346,0,1486,4866,7,3380,60
AC,1074,CRUZEIRO DO SUL,60,3912,311,3688,904,4564,0,27,1923,1416,0,77,2776,277,778,45,0,1,1203,194,2169,219,228,1427,0,2883,35,16045,48418,309,32373,722
AC,1082,RODRIGUES ALVES,2,1703,16,1165,26,316,0,8,171,282,0,5,213,10,80,4,0,0,206,8,43,33,7,113,0,857,1,2879,8695,28,5816,98
AC,1090,MÂNCIO LIMA,14,1699,52,1565,19,416,0,19,122,117,0,9,737,66,92,6,0,0,205,75,137,54,72,538,0,549,0,2676,10007,50,7331,130
AC,1104,JORDÃO,0,72,49,267,1,607,0,24,5,1,0,2,19,1,54,0,0,0,17,1,10,181,13,128,0,472,38,1349,3702,4,2353,106
AC,1112,EPITACIOLÂNDIA,17,795,76,912,16,478,0,26,5,61,0,33,124,129,102,139,0,0,616,437,1065,67,248,238,6,378,16,2467,9422,113,6955,225
AC,1120,ACRELÂNDIA,27,309,187,799,53,397,0,52,62,118,0,63,57,404,316,172,0,2,137,74,294,43,74,1570,0,229,89,2125,9111,147,6986,686
