SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,17,362,7,1324,1,778,0,0,0,270,0,3,14,3,1,0,0,0,250,1,0,129,28,643,0,343,0,614,5551,114,4937,105
AC,1015,CAPIXABA,13,120,3,1299,0,353,0,0,0,535,0,46,85,9,2,0,0,0,364,0,0,61,25,1249,0,244,0,1322,6441,84,5119,84
AC,1023,PORTO ACRE,12,300,4,1433,4,2875,0,0,0,339,0,45,63,1,0,0,0,0,189,2,0,232,40,1415,0,391,0,2011,10537,161,8526,148
AC,1031,SANTA ROSA DO PURUS,0,128,21,237,0,36,0,0,0,13,0,0,6,3,0,0,0,0,5,0,0,273,7,439,0,90,0,738,2360,28,1622,58
AC,1040,MARECHAL THAUMATURGO,1,536,1,919,13,990,0,0,0,323,0,1,25,0,3,0,0,0,14,0,0,148,1,841,0,628,0,2869,7808,14,4939,65
AC,1058,BRASILÉIA,18,1185,4,3345,6,814,0,0,0,230,0,168,34,3,2,0,0,0,67,0,0,68,3,2653,0,985,0,4325,15326,219,11001,160
AC,1066,PORTO WALTER,0,502,2,674,6,584,0,0,0,71,0,0,16,0,0,0,0,0,6,0,0,62,5,741,0,319,0,1486,4866,23,3380,67
AC,1074,CRUZEIRO DO SUL,11,7535,17,3568,1860,3493,0,0,0,1069,0,76,591,4,504,0,0,0,48,24,0,4481,25,3413,0,1992,0,16045,48418,658,32373,577
AC,1082,RODRIGUES ALVES,1,1382,0,1534,70,428,0,0,0,94,0,2,9,1,17,0,0,0,10,0,0,603,3,460,0,530,0,2879,8695,45,5816,94
AC,1090,MÂNCIO LIMA,0,1432,3,1710,40,852,0,0,0,113,0,16,53,2,23,0,0,0,26,3,0,357,3,619,0,1155,0,2676,10007,142,7331,127
AC,1104,JORDÃO,2,182,0,484,1,92,0,0,0,65,0,1,1,0,0,0,0,0,5,0,0,45,2,665,0,472,0,1349,3702,8,2353,73
AC,1112,EPITACIOLÂNDIA,13,1159,0,1749,4,254,0,0,0,134,0,115,9,1,0,0,0,0,170,1,0,41,6,1586,0,637,0,2467,9422,202,6955,137
AC,1120,ACRELÂNDIA,10,713,14,1537,0,376,0,0,0,765,0,8,9,5,6,0,0,0,270,0,0,40,10,1933,0,188,0,2125,9111,258,6986,108
AC,1139,FEIJÓ,5,2053,2,2132,0,624,0,0,0,88,0,5,20,9,16,0,0,0,52,0,0,370,23,3365,0,1331,0,4916,17153,214,12237,393
AC,1392,RIO BRANCO,2036,8577,107,36976,228,23384,0,0,0,9406,0,1366,3065,169,115,0,0,0,3870,489,0,14775,1388,31996,0,17501,0,37313,217034,5955,179721,3868
AC,1457,SENA MADUREIRA,256,1265,2154,3172,17,404,0,0,0,242,0,213,67,132,1,0,0,0,374,0,0,222,2612,3021,0,1221,0,6201,24006,325,17805,370
AC,1473,TARAUACÁ,15,3780,6,2446,57,1279,0,0,0,133,0,11,18,74,6,0,0,0,58,1,0,38,17,1152,0,2756,0,6858,21311,352,14453,545
AC,1490,XAPURI,14,97,1,2663,2,898,0,0,0,933,0,54,25,5,0,0,0,0,47,0,0,115,11,1486,0,515,0,2640,10790,181,8150,190
AC,1511,PLÁCIDO DE CASTRO,41,245,16,3163,19,1284,0,0,0,1269,0,14,32,5,3,0,0,0,494,0,0,102,39,1260,0,427,0,2770,12551,264,9781,159
AC,1538,SENADOR GUIOMARD,47,566,3,1978,1,841,0,0,0,559,0,28,59,15,3,0,0,0,4301,5,0,256,51,1364,0,949,0,3170,15880,337,12710,207
AC,1554,MANOEL URBANO,18,419,39,963,0,192,0,0,0,65,0,7,30,640,1,0,0,0,91,0,0,33,29,341,0,228,0,1371,5077,84,3706,107
AC,1570,ASSIS BRASIL,0,85,1,1265,0,90,0,0,0,152,0,19,4,0,4,0,0,0,34,0,0,2,9,1104,0,333,0,830,4499,50,3669,84
AL,27006,PARIPUEIRA,39,39,18,157,539,420,0,0,0,34,0,111,0,11,10,145,0,2,115,0,93,1,0,3231,24,9,342,1356,7928,449,6572,220
AL,27014,ÁGUA BRANCA,16,1327,11,269,587,3692,0,0,0,3,0,770,0,71,0,1,0,21,11,0,1136,1,1,511,6,18,52,4447,14675,388,10228,382
AL,27022,PARICONHA,2,1919,4,125,81,1229,0,0,0,0,0,600,0,63,0,0,0,298,2,0,284,0,0,113,2,2,41,2169,7856,214,5687,199
AL,27030,ANADIA,33,368,170,335,1899,1108,0,0,0,46,0,308,0,16,0,1,0,10,92,0,1264,0,0,1215,24,6,722,4121,13937,756,9816,410
AL,27049,ESTRELA DE ALAGOAS,5,2092,84,160,952,1268,0,0,0,2,0,114,0,6,0,0,0,6,432,0,917,0,0,215,2,4,62,4368,12250,534,7882,290
AL,27057,ARAPIRACA,225,1544,111,2406,66115,6050,0,0,0,66,0,187,0,3187,2,34,0,24,592,0,3830,2,1,1668,210,605,446,23985,125965,4923,101980,2845
AL,27065,JEQUIÁ DA PRAIA,7,51,8,132,229,2637,0,0,0,17,0,33,0,14,0,4,0,0,19,0,283,0,0,1482,4,3,64,2144,8074,304,5930,179
AL,27073,ATALAIA,58,1163,29,430,9144,3255,0,0,0,56,0,497,0,49,5,7,0,3,954,0,374,3,0,2185,24,22,708,7060,29788,960,22728,690
AL,27081,CAMPESTRE,6,6,2,232,419,1148,0,0,0,0,0,1,0,3,0,0,0,42,485,0,61,0,0,425,8,6,32,751,4287,258,3536,106
AL,27090,BARRA DE SANTO ANTÔNIO,25,44,37,421,1833,703,0,0,0,48,0,155,0,20,2,30,0,0,159,0,224,0,0,1005,36,5,726,759,7547,521,6788,226
AL,27111,BARRA DE SÃO MIGUEL,29,16,20,64,287,666,0,0,0,32,0,857,0,21,0,1,0,2,40,0,122,0,0,1390,12,7,145,919,5219,171,4300,100
AL,27138,BATALHA,7,32,7,54,2029,3560,0,0,0,4,0,47,0,27,0,6,0,2,331,0,403,0,0,437,92,18,319,2400,11076,330,8676,317
AL,27154,BELÉM,24,1156,2,467,534,90,0,0,0,0,0,11,0,7,0,0,0,4,106,0,230,0,2,133,7,3,132,1256,4863,224,3607,120
AL,27170,BELO MONTE,7,349,2,40,301,533,0,0,0,3,0,6,0,10,0,0,0,0,458,0,1050,0,0,157,59,8,13,1169,4675,116,3506,95
AL,27197,BOCA DA MATA,41,79,27,259,2294,1284,0,0,0,37,0,3090,0,34,0,7,0,2,543,0,533,0,0,3111,7,10,448,5049,19974,1356,14925,522
AL,27219,BRANQUINHA,25,18,6,156,2233,1456,0,0,0,3,0,8,0,2,2,1,0,0,26,0,16,7,0,118,0,1,62,950,6053,182,5103,186
AL,27235,CACIMBINHAS,7,18,7,40,2078,1887,0,0,0,2,0,61,0,3,0,1,0,1,67,0,368,0,0,133,10,2,39,1257,6823,116,5566,201
AL,27251,CAJUEIRO,16,435,6,438,2687,1054,0,0,0,27,0,29,0,22,1,1,0,1,350,0,339,0,0,2954,2,6,298,3452,14012,606,10560,370
AL,27278,CAMPO ALEGRE,19,1070,25,312,3511,2541,0,0,0,25,0,454,0,47,0,35,0,6,461,0,2876,2,0,1114,17,15,392,6474,22239,1003,15765,572
AL,27294,CAMPO GRANDE,4,2625,2,88,710,121,0,0,0,0,0,2,0,69,0,0,0,0,12,0,121,0,0,1298,46,6,23,1698,7579,236,5881,193
AL,27316,CANAPI,24,44,9,109,2689,3161,0,0,0,2,0,419,0,18,1,0,0,25,6,0,738,2,0,102,12,3,85,3994,13218,386,9224,349
AL,27332,CAPELA,15,32,21,148,2239,679,0,0,0,23,0,33,0,86,1,2,0,0,137,0,166,0,0,4081,11,7,324,3285,13116,527,9831,387
AL,27359,CARNEIROS,11,434,12,26,352,1973,0,0,0,0,0,13,0,8,0,0,0,10,52,0,354,0,0,191,22,2,44,1541,5687,129,4146,182
AL,27375,CHÃ PRETA,1,43,2,143,76,438,0,0,0,6,0,156,0,5,0,5,0,0,1782,0,37,0,0,883,0,2,25,497,4861,221,4364,152
AL,27391,COITÉ DO NÓIA,10,1760,6,88,2023,461,0,0,0,0,0,12,0,12,0,0,0,2,157,0,207,0,0,48,2,3,36,786,6593,256,5807,236
AL,27413,COLÔNIA LEOPOLDINA,9,64,19,440,297,615,0,0,0,11,0,1156,0,21,0,4,0,6,958,0,132,2,0,3793,37,8,327,4330,14758,1092,10428,377
AL,27430,COQUEIRO SECO,14,12,36,71,980,144,0,0,0,24,0,17,0,18,4,8,0,4,475,0,56,0,0,572,15,3,181,764,4184,371,3420,147
AL,27456,CORURIPE,54,258,53,1223,903,17387,0,0,0,48,0,102,0,37,4,52,0,5,87,0,688,0,0,1374,20,16,179,9411,36868,1862,27457,985
AL,27472,DELMIRO GOUVEIA,65,1501,27,1954,2038,5406,0,0,0,6,0,1102,0,4344,1,0,0,167,87,0,391,0,1,2417,29,67,1216,9550,35344,1688,25794,1038
