SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,1972,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2537,0,0,0,614,5551,71,4937,348
AC,1015,CAPIXABA,0,0,1595,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3177,0,0,0,1322,6441,46,5119,299
AC,1023,PORTO ACRE,0,0,2470,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5446,0,0,0,2011,10537,89,8526,511
AC,1031,SANTA ROSA DO PURUS,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,738,2360,26,1622,240
AC,1040,MARECHAL THAUMATURGO,0,0,2782,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1863,0,0,0,2869,7808,14,4939,279
AC,1058,BRASILÉIA,0,0,4916,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,5240,0,0,0,4325,15326,185,11001,578
AC,1066,PORTO WALTER,0,0,1728,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1438,0,0,0,1486,4866,8,3380,203
AC,1074,CRUZEIRO DO SUL,0,0,16747,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,13296,0,0,0,16045,48418,500,32373,1804
AC,1082,RODRIGUES ALVES,0,0,3336,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2094,0,0,0,2879,8695,27,5816,357
AC,1090,MÂNCIO LIMA,0,0,4367,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2425,0,0,0,2676,10007,99,7331,434
AC,1104,JORDÃO,0,0,1376,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,761,0,0,0,1349,3702,11,2353,203
AC,1112,EPITACIOLÂNDIA,0,0,3345,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3037,0,0,0,2467,9422,156,6955,408
AC,1120,ACRELÂNDIA,0,0,1751,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4766,0,0,0,2125,9111,110,6986,339
