SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1090,2,0,4,2,0,721,2807,5,614,5551,60,4937,246
AC,1015,CAPIXABA,916,3,2,5,1,0,452,3481,15,1322,6441,45,5119,199
AC,1023,PORTO ACRE,1431,3,1,5,9,0,764,5889,10,2011,10537,66,8526,348
AC,1031,SANTA ROSA DO PURUS,359,2,2,2,0,1,369,687,2,738,2360,23,1622,175
AC,1040,MARECHAL THAUMATURGO,1998,0,0,0,1,0,311,2431,4,2869,7808,11,4939,183
AC,1058,BRASILÉIA,2827,5,0,7,9,1,1109,6534,23,4325,15326,106,11001,380
AC,1066,PORTO WALTER,1392,1,1,2,2,0,160,1666,9,1486,4866,6,3380,141
AC,1074,CRUZEIRO DO SUL,9469,13,11,24,14,2,4340,16811,86,16045,48418,338,32373,1265
AC,1082,RODRIGUES ALVES,2208,2,0,3,0,0,376,2949,6,2879,8695,31,5816,241
AC,1090,MÂNCIO LIMA,2996,4,1,5,6,0,355,3560,11,2676,10007,70,7331,323
AC,1104,JORDÃO,947,2,0,7,1,0,195,1054,3,1349,3702,10,2353,134
AC,1112,EPITACIOLÂNDIA,1606,1,4,4,3,0,899,4033,13,2467,9422,99,6955,293
AC,1120,ACRELÂNDIA,1460,3,0,9,9,0,271,4872,22,2125,9111,90,6986,250
AC,1139,FEIJÓ,5930,8,5,6,1,0,1156,4097,19,4916,17153,141,12237,874
AC,1392,RIO BRANCO,27394,37,19,162,92,9,61635,82959,650,37313,217034,1878,179721,4886
AC,1457,SENA MADUREIRA,4972,11,4,7,9,1,2576,8946,39,6201,24006,236,17805,1004
AC,1473,TARAUACÁ,5860,10,4,51,4,0,837,6160,26,6858,21311,233,14453,1268
AC,1490,XAPURI,2505,1,4,0,2,1,1069,4056,11,2640,10790,67,8150,434
AC,1511,PLÁCIDO DE CASTRO,2145,4,2,5,3,0,1104,6052,21,2770,12551,91,9781,354
AC,1538,SENADOR GUIOMARD,2653,2,0,9,3,2,1936,7461,33,3170,15880,144,12710,467
