SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1229,3224,863,5552,46,4689,190
AC,1015,CAPIXABA,847,3365,2064,6441,16,4377,149
AC,1023,PORTO ACRE,1460,5963,2765,10537,52,7772,297
AC,1031,SANTA ROSA DO PURUS,303,917,1039,2360,10,1321,91
AC,1040,MARECHAL THAUMATURGO,1698,2660,3219,7808,20,4589,211
AC,1058,BRASILÉIA,2992,7602,4276,15326,88,11050,368
AC,1066,PORTO WALTER,1301,1544,1845,4866,9,3021,167
AC,1074,CRUZEIRO DO SUL,10134,19070,17810,48422,277,30612,1131
AC,1082,RODRIGUES ALVES,1832,3183,3449,8695,27,5246,204
AC,1090,MÂNCIO LIMA,2395,3388,3598,9647,35,6049,231
AC,1104,JORDÃO,874,937,1741,3702,12,1961,138
AC,1112,EPITACIOLÂNDIA,1717,4830,2605,9422,60,6817,210
AC,1120,ACRELÂNDIA,1475,4451,2953,9111,65,6158,167
AC,1139,FEIJÓ,5711,4249,6512,17154,97,10642,585
AC,1392,RIO BRANCO,43426,119157,46267,217042,2280,170775,5912
AC,1457,SENA MADUREIRA,4369,9320,9603,24007,115,14404,600
AC,1473,TARAUACÁ,5177,5921,9470,21311,94,11841,649
AC,1490,XAPURI,2544,4697,3166,10790,59,7624,324
AC,1511,PLÁCIDO DE CASTRO,2110,6064,4097,12551,50,8454,230
AC,1538,SENADOR GUIOMARD,2930,8159,4302,15880,107,11578,382
AC,1554,MANOEL URBANO,1084,1830,1982,5077,19,3095,162
AC,1570,ASSIS BRASIL,1361,2235,691,4499,25,3808,187
AL,27006,PARIPUEIRA,2415,3285,1771,7928,143,6157,314
AL,27014,ÁGUA BRANCA,7531,1639,4749,14675,102,9926,654
AL,27022,PARICONHA,4476,650,2314,7856,47,5542,369
AL,27030,ANADIA,5019,3033,5123,13937,189,8814,573
AL,27049,ESTRELA DE ALAGOAS,5476,1593,4436,12250,130,7814,615
AL,27057,ARAPIRACA,42663,47437,29074,125965,1898,96891,4893
AL,27065,JEQUIÁ DA PRAIA,2902,1924,2922,8074,71,5152,255
AL,27073,ATALAIA,8967,9907,9219,29789,360,20570,1336
AL,27081,CAMPESTRE,2314,787,893,4287,65,3394,228
AL,27090,BARRA DE SANTO ANTÔNIO,3176,2840,987,7547,164,6560,380
AL,27111,BARRA DE SÃO MIGUEL,1666,2099,1203,5219,61,4016,190
AL,27138,BATALHA,5289,2203,3061,11076,76,8015,447
AL,27154,BELÉM,2072,951,1537,4863,68,3326,235
AL,27170,BELO MONTE,2444,604,1397,4675,21,3278,209
AL,27197,BOCA DA MATA,8753,4050,5918,19974,370,14056,883
AL,27219,BRANQUINHA,3082,1426,1099,6053,84,4954,362
AL,27235,CACIMBINHAS,3041,1741,1573,6823,63,5250,405
AL,27251,CAJUEIRO,4524,4436,4176,14012,176,9836,700
AL,27278,CAMPO ALEGRE,8527,4693,7666,22240,370,14574,984
AL,27294,CAMPO GRANDE,3998,1279,1854,7579,106,5725,342
AL,27316,CANAPI,6983,1142,4429,13218,93,8789,571
AL,27332,CAPELA,3340,4774,4209,13116,166,8907,627
AL,27359,CARNEIROS,2542,1175,1638,5687,48,4049,284
AL,27375,CHÃ PRETA,2729,1073,680,4861,76,4181,303
AL,27391,COITÉ DO NÓIA,3917,1286,862,6593,87,5731,441
AL,27413,COLÔNIA LEOPOLDINA,4719,4095,5100,14758,206,9658,638
AL,27430,COQUEIRO SECO,1691,1250,977,4184,107,3207,159
AL,27456,CORURIPE,8476,15642,10813,36868,569,26055,1368
AL,27472,DELMIRO GOUVEIA,19108,4071,10455,35345,342,24890,1369
AL,27499,DOIS RIACHOS,3829,1632,2848,8847,68,5999,470
AL,27510,FEIRA GRANDE,8129,2307,3847,15273,254,11426,736
AL,27537,FELIZ DESERTO,1152,944,956,3240,41,2284,147
AL,27553,FLEXEIRAS,2125,2892,2237,7782,135,5545,393
AL,27570,GIRAU DO PONCIANO,12158,2911,7329,23759,210,16430,1151
AL,27596,IBATEGUARA,4084,2608,3242,10679,160,7437,585
AL,27618,IGACI,8729,2770,2762,15562,248,12800,1053
AL,27634,IGREJA NOVA,7127,3903,4979,17110,295,12131,806
AL,27650,INHAPI,6677,891,4206,12619,105,8413,740
AL,27677,JACARÉ DOS HOMENS,2394,760,1376,4685,26,3309,129
AL,27693,JACUÍPE,2576,836,1679,5390,67,3711,232
AL,27715,JAPARATINGA,1750,1982,1926,5976,87,4050,231
AL,27731,JARAMATAIA,2056,964,482,3764,50,3282,212
AL,27758,JOAQUIM GOMES,4995,3402,5161,14401,168,9240,675
AL,27774,JUNDIÁ,1298,1132,1339,3921,40,2582,112
AL,27790,JUNQUEIRO,7628,4174,6060,18791,275,12731,654
AL,27812,LAGOA DA CANOA,6200,2492,3377,12916,184,9539,663
AL,27839,LIMOEIRO DE ANADIA,7712,2627,5248,16617,218,11369,812
AL,27855,MACEIÓ,152559,236597,113823,538534,11362,424711,24193
AL,27871,MAJOR ISIDORO,6243,2878,4971,14911,117,9940,702
