SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,0,2469,0,1806,0,0,0,0,0,0,0,0,0,0,0,0,2798,0,0,0,0,0,1506,0,614,5551,284,4937,1011
AC,1015,CAPIXABA,0,0,0,2173,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,3371,0,0,0,0,0,1216,0,1322,6441,198,5119,896
AC,1023,PORTO ACRE,0,0,0,3269,0,4165,0,0,0,0,0,0,0,0,0,0,0,0,5793,0,0,0,0,0,1898,0,2011,10537,451,8526,1476
AC,1031,SANTA ROSA DO PURUS,0,0,0,961,0,364,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,654,0,738,2360,89,1622,610
AC,1040,MARECHAL THAUMATURGO,0,0,0,2997,0,1633,0,0,0,0,0,0,0,0,0,0,0,0,2144,0,0,0,0,0,2401,0,2869,7808,43,4939,660
AC,1058,BRASILÉIA,0,0,0,5771,0,4063,0,0,0,0,0,0,0,0,0,0,0,0,5687,0,0,0,0,0,4045,0,4325,15326,696,11001,1740
AC,1066,PORTO WALTER,0,0,0,1781,0,1315,0,0,0,0,0,0,0,0,0,0,0,0,1614,0,0,0,0,0,1494,0,1486,4866,39,3380,517
AC,1074,CRUZEIRO DO SUL,0,0,0,19083,0,9718,0,0,0,0,0,0,0,0,0,0,0,0,16512,0,0,0,0,0,12927,0,16045,48418,1832,32373,4674
AC,1082,RODRIGUES ALVES,0,0,0,3712,0,1551,0,0,0,0,0,0,0,0,0,0,0,0,2449,0,0,0,0,0,2922,0,2879,8695,109,5816,889
AC,1090,MÂNCIO LIMA,0,0,0,4738,0,1811,0,0,0,0,0,0,0,0,0,0,0,0,3559,0,0,0,0,0,3155,0,2676,10007,349,7331,1050
AC,1104,JORDÃO,0,0,0,1457,0,649,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,1077,0,1349,3702,37,2353,486
AC,1112,EPITACIOLÂNDIA,0,0,0,3921,0,2163,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,2459,0,2467,9422,557,6955,1211
