SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 23, 'Partido Popular Socialista')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,157,161,279,1584,9,322,0,28,72,10,0,71,24,286,169,0,0,98,33,5,215,55,601,125,10,330,20,168,243,52,71,38,984,6902,83,5918,109
AC,1015,CAPIXABA,463,271,211,852,24,319,0,12,199,7,0,84,34,238,220,0,0,57,46,51,471,43,243,105,16,164,33,626,268,18,43,18,1241,6941,53,5700,65
AC,1023,PORTO ACRE,352,183,470,1172,220,652,0,25,120,11,0,371,39,1686,195,0,0,29,14,49,298,206,397,210,9,228,54,841,298,77,61,62,2108,11434,137,9326,114
AC,1031,SANTA ROSA DO PURUS,19,113,320,152,8,1,0,36,110,1,0,3,3,2,22,0,0,1,1,2,32,147,79,72,55,15,329,81,36,26,2,2,856,2783,14,1927,48
AC,1040,MARECHAL THAUMATURGO,39,465,159,1230,161,363,0,0,218,1,0,266,32,695,394,0,0,4,0,38,516,261,6,243,1,222,58,51,203,98,3,9,2408,8799,21,6391,94
AC,1058,BRASILÉIA,258,1432,278,4062,62,1234,0,20,87,6,0,207,26,553,1291,0,0,57,7,10,486,28,226,175,12,441,40,142,266,12,238,394,3616,17126,190,13510,198
AC,1066,PORTO WALTER,47,260,103,706,73,537,0,0,324,0,0,69,1,237,56,0,0,1,4,37,48,27,16,252,0,198,31,45,364,2,1,179,1381,5444,18,4063,78
AC,1074,CRUZEIRO DO SUL,619,3258,994,4373,726,3274,0,36,6048,49,0,1697,29,3182,536,0,0,37,38,435,992,573,326,3218,7,1137,217,311,1497,194,302,1302,12504,51461,591,38957,591
AC,1082,RODRIGUES ALVES,79,142,86,1827,109,178,0,0,1317,4,0,192,2,211,67,0,0,0,2,120,72,18,52,268,1,60,13,152,304,6,92,1432,2206,9731,40,7525,148
AC,1090,MÂNCIO LIMA,510,161,259,1810,44,148,0,0,431,4,0,109,3,320,72,0,0,13,9,68,72,36,105,567,0,136,13,1349,443,25,48,1034,2270,10818,61,8548,140
