SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 23, 'Partido Popular Socialista')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,102,694,57,1897,11,609,0,0,8,145,0,78,16,89,27,0,0,43,3,0,362,8,116,325,3,0,0,171,198,8,89,20,984,6902,165,5918,130
AC,1015,CAPIXABA,82,1128,258,1015,18,222,0,0,0,319,0,42,10,56,70,0,0,26,10,0,673,24,77,602,2,0,4,158,222,1,21,19,1241,6941,101,5700,68
AC,1023,PORTO ACRE,332,677,132,2099,57,1281,0,0,3,488,0,91,15,250,118,0,0,42,7,0,308,125,138,705,9,0,2,571,292,16,120,181,2108,11434,267,9326,161
AC,1031,SANTA ROSA DO PURUS,6,19,70,220,84,56,0,0,0,14,0,1,1,154,0,0,0,21,1,0,553,20,14,86,0,0,0,155,112,2,6,16,856,2783,28,1927,47
AC,1040,MARECHAL THAUMATURGO,3,91,136,270,14,1898,0,0,1,48,0,188,17,32,2,0,0,5,4,0,1422,63,3,396,1,0,0,482,715,1,0,0,2408,8799,23,6391,101
AC,1058,BRASILÉIA,282,328,323,4005,37,1433,0,0,17,632,0,118,12,640,48,0,0,16,4,0,305,34,48,2943,1,0,1,349,150,6,100,31,3616,17126,396,13510,199
AC,1066,PORTO WALTER,11,46,198,324,6,1512,0,0,2,138,0,128,6,32,2,0,0,5,1,0,785,63,5,31,1,0,1,163,220,1,4,2,1381,5444,32,4063,55
AC,1074,CRUZEIRO DO SUL,411,1959,191,2304,368,10244,0,0,56,723,0,8061,177,1877,133,0,0,284,39,0,5001,719,39,596,13,0,0,477,1528,11,86,50,12504,51461,819,38957,565
AC,1082,RODRIGUES ALVES,27,162,111,2386,248,1544,0,0,0,187,0,391,6,164,26,0,0,13,3,0,1072,37,7,72,0,0,0,20,297,3,44,4,2206,9731,70,7525,103
AC,1090,MÂNCIO LIMA,327,341,45,947,96,2930,0,0,1,225,0,358,30,121,165,0,0,23,10,0,967,75,11,41,3,0,0,215,792,3,25,3,2270,10818,147,8548,117
AC,1104,JORDÃO,0,21,127,454,0,609,0,0,0,0,0,75,56,55,5,0,0,2,0,0,224,23,0,210,0,0,0,140,905,0,0,0,1047,4311,16,3264,62
AC,1112,EPITACIOLÂNDIA,99,290,240,1739,24,282,0,0,5,1758,0,124,38,166,83,0,0,24,15,0,522,32,24,921,2,0,1,546,129,5,47,21,2097,10408,301,8311,143
AC,1120,ACRELÂNDIA,348,982,138,1631,27,179,0,0,0,358,0,40,15,497,136,0,0,101,27,0,259,32,47,377,0,0,3,461,170,7,23,19,2144,9143,356,6999,139
AC,1139,FEIJÓ,19,350,93,1033,45,183,0,0,1,24,0,63,10,9325,17,0,0,18,3,0,696,15,26,71,0,0,0,52,322,0,16,28,4565,18595,128,14030,313
AC,1392,RIO BRANCO,14823,13020,6501,54900,2417,12120,0,3,370,4440,0,3012,1463,4074,1998,0,0,4377,369,0,8243,2421,10034,16633,373,0,438,9682,3913,872,3510,1375,25621,231935,6804,206314,4051
AC,1457,SENA MADUREIRA,196,1255,620,3181,55,963,0,1,9,89,0,69,59,2314,117,0,0,119,40,0,740,60,91,5640,5,0,6,305,487,491,251,24,6206,25964,573,19758,365
AC,1473,TARAUACÁ,142,199,1007,3614,116,1068,0,1,3,162,0,313,1450,701,76,0,0,23,22,0,1890,34,61,276,3,0,2,894,2214,12,53,93,6063,23055,532,16992,409
AC,1490,XAPURI,195,534,93,3250,29,519,0,0,7,833,0,77,20,337,106,0,0,33,1,0,412,89,35,838,6,0,3,200,189,0,6,1,2340,11344,172,9004,160
AC,1511,PLÁCIDO DE CASTRO,123,657,420,2614,66,379,0,0,5,360,0,118,13,573,128,0,0,186,20,0,849,90,215,571,2,0,1,986,216,15,31,27,2575,12516,297,9941,166
AC,1538,SENADOR GUIOMARD,306,2754,202,2257,114,463,0,0,25,366,0,66,36,251,73,0,0,106,9,0,529,81,194,1214,8,0,8,2007,475,26,146,71,3146,16632,467,13486,201
AC,1554,MANOEL URBANO,60,164,243,704,8,159,0,0,1,557,0,8,26,158,12,0,0,394,77,0,597,29,29,165,3,0,17,289,75,18,137,4,1464,5992,105,4528,97
AC,1570,ASSIS BRASIL,9,258,192,1487,2,58,0,0,1,260,0,10,11,332,1,0,0,10,3,0,39,5,15,526,0,0,4,383,117,1,2,5,906,5186,52,4280,68
AL,27006,PARIPUEIRA,28,352,371,69,45,434,4,0,0,1,0,2331,46,26,6,640,0,6,25,1,7,15,53,138,14,0,5,13,0,75,532,100,1175,8056,764,6881,305
AL,27014,ÁGUA BRANCA,33,748,254,2677,31,1223,2,0,0,0,0,1001,29,15,0,194,0,1,49,0,11,0,22,938,12,0,2,0,0,42,120,1481,3063,13647,493,10584,408
AL,27022,PARICONHA,7,2224,77,620,6,40,1,0,0,0,0,751,6,5,0,577,0,0,0,0,9,0,11,311,5,0,0,0,0,10,32,293,1282,7146,250,5864,160
AL,27030,ANADIA,9,798,209,28,47,372,1,0,0,4,0,956,178,9,2,629,0,0,29,1,12,1,1426,869,5,0,1,8,0,242,206,529,3472,12013,766,8541,561
AL,27049,ESTRELA DE ALAGOAS,7,2401,302,53,21,742,1,0,0,0,0,26,46,0,0,137,0,1,43,0,6,0,47,1320,10,0,0,0,0,25,214,952,3078,10714,509,7636,200
AL,27057,ARAPIRACA,407,8650,7358,5891,384,10980,71,0,0,12,0,1804,620,140,953,7686,0,49,109,187,85,131,3510,31278,358,0,9,47,0,687,4053,3326,20303,128775,8067,108472,5160
AL,27065,JEQUIÁ DA PRAIA,2,146,110,50,8,2275,1,0,0,1,0,655,103,8,0,84,0,0,4,0,5,7,20,67,1,0,0,7,0,25,1037,164,1299,6812,310,5513,171
