SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 18, 'Rede Sustentabilidade')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 23, 'Partido Popular Socialista')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,0,0,5096,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,4343,21,0,0,0,0,0,0,0,2336,13804,149,11468,529
AC,1015,CAPIXABA,0,0,0,4123,0,0,0,0,0,0,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,4606,3,0,0,0,0,0,0,0,3124,13882,79,10758,365
AC,1023,PORTO ACRE,0,0,0,8406,0,0,0,0,0,0,0,0,0,0,2062,0,0,0,0,0,0,0,0,0,6550,13,0,0,0,0,0,0,0,4867,22868,210,18001,760
AC,1031,SANTA ROSA DO PURUS,0,0,0,2303,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,568,2,0,0,0,0,0,0,0,2029,5566,39,3537,269
AC,1040,MARECHAL THAUMATURGO,0,0,0,6288,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,4834,0,0,0,0,0,0,0,0,5306,17598,26,12292,491
AC,1058,BRASILÉIA,0,0,0,12568,0,0,0,0,0,0,0,0,0,0,2427,0,0,0,0,0,0,0,0,0,9950,18,0,0,0,0,0,0,0,8008,34254,280,26246,1003
AC,1066,PORTO WALTER,0,0,0,3980,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,3063,0,0,0,0,0,0,0,0,3177,10888,39,7711,300
AC,1074,CRUZEIRO DO SUL,0,0,0,35042,0,0,0,0,0,0,0,0,0,0,5536,0,0,0,0,0,0,0,0,0,30955,51,0,0,0,0,0,0,0,28019,102922,806,74903,2513
AC,1082,RODRIGUES ALVES,0,0,0,7385,0,0,0,0,0,0,0,0,0,0,713,0,0,0,0,0,0,0,0,0,5329,5,0,0,0,0,0,0,0,5444,19462,68,14018,518
AC,1090,MÂNCIO LIMA,0,0,0,9033,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,5673,4,0,0,0,0,0,0,0,5606,21636,140,16030,564
AC,1104,JORDÃO,0,0,0,3669,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,1942,1,0,0,0,0,0,0,0,2512,8622,20,6110,299
AC,1112,EPITACIOLÂNDIA,0,0,0,7125,0,0,0,0,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,0,0,6297,8,0,0,0,0,0,0,0,4793,20816,235,16023,745
