SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1628,0,8,2,3,6,0,1956,1,1925,12,984,6902,74,5918,303
AC,1015,CAPIXABA,1344,1,16,1,4,6,0,1551,8,2475,10,1241,6941,57,5700,227
AC,1023,PORTO ACRE,3131,3,53,1,11,9,1,1983,12,3512,16,2108,11434,127,9326,467
AC,1031,SANTA ROSA DO PURUS,612,2,7,0,0,1,0,878,3,257,3,856,2783,21,1927,143
AC,1040,MARECHAL THAUMATURGO,2909,1,11,2,2,10,0,793,7,2425,4,2408,8799,19,6391,208
AC,1058,BRASILÉIA,4616,6,30,4,12,13,0,2857,14,5252,12,3616,17126,145,13510,549
AC,1066,PORTO WALTER,2134,1,7,0,0,2,0,343,2,1388,2,1381,5444,25,4063,159
AC,1074,CRUZEIRO DO SUL,12561,9,161,5,18,101,0,9201,46,15165,47,12504,51461,410,38957,1233
AC,1082,RODRIGUES ALVES,3466,1,26,0,2,8,0,1333,6,2351,3,2206,9731,45,7525,284
AC,1090,MÂNCIO LIMA,4348,3,49,1,3,21,0,1455,7,2306,5,2270,10818,70,8548,280
AC,1104,JORDÃO,1372,1,1,2,2,2,0,876,7,859,1,1047,4311,11,3264,130
AC,1112,EPITACIOLÂNDIA,2057,1,53,0,11,8,2,2801,9,2868,9,2097,10408,116,8311,376
AC,1120,ACRELÂNDIA,2293,3,19,2,13,21,1,717,15,3464,2,2144,9143,108,6999,341
AC,1139,FEIJÓ,7129,4,11,7,4,14,0,2841,16,3038,8,4565,18595,101,14030,857
AC,1392,RIO BRANCO,35802,39,520,25,155,332,6,115594,346,44676,648,25660,232220,2174,206560,6243
AC,1457,SENA MADUREIRA,5013,8,40,6,6,35,1,6363,24,7034,25,6206,25964,229,19758,974
AC,1473,TARAUACÁ,8629,8,27,3,17,4,1,2947,13,4185,8,6063,23055,209,16992,941
