SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,1833,3558,1352,6902,45,5550,114
AC,1015,CAPIXABA,1462,3496,1883,6941,27,5058,73
AC,1023,PORTO ACRE,3152,5279,2759,11434,79,8675,165
AC,1031,SANTA ROSA DO PURUS,852,693,1173,2783,17,1610,48
AC,1040,MARECHAL THAUMATURGO,2997,2764,2898,8799,18,5901,122
AC,1058,BRASILÉIA,4882,7553,4392,17128,92,12736,209
AC,1066,PORTO WALTER,1777,1775,1796,5444,12,3648,84
AC,1074,CRUZEIRO DO SUL,13506,21388,15515,51461,343,35946,709
AC,1082,RODRIGUES ALVES,2782,3562,3238,9731,43,6493,106
AC,1090,MÂNCIO LIMA,3900,3413,3336,10818,55,7482,114
AC,1104,JORDÃO,1552,1232,1465,4311,9,2846,53
AC,1112,EPITACIOLÂNDIA,2529,4984,2696,10408,62,7712,137
AC,1120,ACRELÂNDIA,2210,4076,2736,9143,38,6407,83
AC,1139,FEIJÓ,7333,4934,5919,18595,70,12676,339
AC,1392,RIO BRANCO,59921,135243,30469,232202,2139,201733,4430
AC,1457,SENA MADUREIRA,5380,10951,9212,25964,87,16752,334
AC,1473,TARAUACÁ,8366,6054,8188,23055,87,14867,360
AC,1490,XAPURI,4114,4167,2844,11344,41,8500,178
AC,1511,PLÁCIDO DE CASTRO,2868,5965,3455,12516,69,9061,159
AC,1538,SENADOR GUIOMARD,3836,8493,3991,16632,95,12641,217
AC,1554,MANOEL URBANO,1764,1981,2109,5992,30,3883,108
AC,1570,ASSIS BRASIL,1966,2116,990,5186,22,4196,92
AL,27006,PARIPUEIRA,3589,2700,1441,8056,111,6615,215
AL,27014,ÁGUA BRANCA,8717,1431,3105,13647,77,10542,317
AL,27022,PARICONHA,4991,562,1351,7146,43,5795,199
AL,27030,ANADIA,5452,2559,3505,12013,136,8508,361
AL,27049,ESTRELA DE ALAGOAS,6268,1235,2808,10714,70,7906,333
AL,27057,ARAPIRACA,63635,41362,18728,128774,1448,110046,3601
AL,27065,JEQUIÁ DA PRAIA,3170,1850,1616,6812,53,5196,123
AL,27073,ATALAIA,12895,7598,6439,28032,366,21593,734
AL,27081,CAMPESTRE,2176,1114,1156,4627,62,3471,119
AL,27090,BARRA DE SANTO ANTÔNIO,4832,2465,2089,9804,145,7715,273
