SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1007,BUJARI,0,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,37,0,0,0,1954,0,0,0,984,6902,160,5918,551
AC,1015,CAPIXABA,0,3278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,8,0,0,0,1649,0,0,0,1241,6941,102,5700,450
AC,1023,PORTO ACRE,0,4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,10,0,0,0,3202,0,0,0,2108,11434,313,9326,893
AC,1031,SANTA ROSA DO PURUS,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1009,0,0,0,856,2783,31,1927,260
AC,1040,MARECHAL THAUMATURGO,0,3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,1,0,0,0,2577,0,0,0,2408,8799,28,6391,429
AC,1058,BRASILÉIA,0,5884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,16,0,0,0,5712,0,0,0,3616,17126,396,13510,1173
AC,1066,PORTO WALTER,0,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,1724,0,0,0,1381,5444,35,4063,287
AC,1074,CRUZEIRO DO SUL,0,27355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,39,0,0,0,7968,0,0,0,12504,51461,730,38957,2176
AC,1082,RODRIGUES ALVES,0,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,8,0,0,0,2839,0,0,0,2206,9731,68,7525,530
AC,1090,MÂNCIO LIMA,0,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,3,0,0,0,3140,0,0,0,2270,10818,159,8548,536
AC,1104,JORDÃO,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,1811,0,0,0,1047,4311,17,3264,276
AC,1112,EPITACIOLÂNDIA,0,3949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,8,0,0,0,3131,0,0,0,2097,10408,312,8311,723
AC,1120,ACRELÂNDIA,0,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0,2,0,0,0,1986,0,0,0,2144,9143,381,6999,649
AC,1139,FEIJÓ,0,4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,5,0,0,0,7680,0,0,0,4565,18595,235,14030,1464
AC,1392,RIO BRANCO,0,111771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9723,0,0,0,0,0,1933,0,0,0,61555,0,0,0,25621,231935,7175,206314,14157
AC,1457,SENA MADUREIRA,0,11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0,22,0,0,0,5469,0,0,0,6206,25964,570,19758,1650
AC,1473,TARAUACÁ,0,7082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,8,0,0,0,7512,0,0,0,6063,23055,429,16992,1723
AC,1490,XAPURI,0,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,23,0,0,0,4359,0,0,0,2340,11344,162,9004,924
AC,1511,PLÁCIDO DE CASTRO,0,4472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,35,0,0,0,3178,0,0,0,2575,12516,345,9941,789
AC,1538,SENADOR GUIOMARD,0,6926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,61,0,0,0,4417,0,0,0,3146,16632,496,13486,1065
AC,1554,MANOEL URBANO,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,12,0,0,0,1888,0,0,0,1464,5992,111,4528,484
