SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS_NOMINAIS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS_NOMINAIS', 11, 'Partido Progressista')","('QT_VOTOS_NOMINAIS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS_NOMINAIS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS_NOMINAIS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 15, 'Movimento Democrático Brasileiro')","('QT_VOTOS_NOMINAIS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS_NOMINAIS', 17, 'Partido Social Liberal')","('QT_VOTOS_NOMINAIS', 18, 'Rede Sustentabilidade')","('QT_VOTOS_NOMINAIS', 19, 'Podemos')","('QT_VOTOS_NOMINAIS', 20, 'Partido Social Cristão')","('QT_VOTOS_NOMINAIS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS_NOMINAIS', 22, 'Partido da República')","('QT_VOTOS_NOMINAIS', 23, 'Partido Popular Socialista')","('QT_VOTOS_NOMINAIS', 25, 'Democratas')","('QT_VOTOS_NOMINAIS', 27, 'Democracia Cristã')","('QT_VOTOS_NOMINAIS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 29, 'Partido da Causa Operária')","('QT_VOTOS_NOMINAIS', 30, 'Partido Novo')","('QT_VOTOS_NOMINAIS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS_NOMINAIS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS_NOMINAIS', 35, 'Partido da Mulher Brasileira')","('QT_VOTOS_NOMINAIS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS_NOMINAIS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS_NOMINAIS', 43, 'Partido Verde')","('QT_VOTOS_NOMINAIS', 44, 'Partido Republicano Progressista')","('QT_VOTOS_NOMINAIS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS_NOMINAIS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS_NOMINAIS', 51, 'Patriota')","('QT_VOTOS_NOMINAIS', 54, 'Partido Pátria Livre')","('QT_VOTOS_NOMINAIS', 55, 'Partido Social Democrático')","('QT_VOTOS_NOMINAIS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS_NOMINAIS', 70, 'AVANTE')","('QT_VOTOS_NOMINAIS', 77, 'Solidariedade')","('QT_VOTOS_NOMINAIS', 90, 'Partido Republicano da Ordem Social')",QT_ABSTENCOES,QT_APTOS_TOT,QT_COMPARECIMENTO,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS
AC,1007,BUJARI,231,402,823,802,133,562,0,129,26,201,17,0,370,88,190,68,24,0,0,121,30,41,20,238,111,125,379,33,15,0,95,543,0,236,176,1691,8684,6993,105,129
AC,1015,CAPIXABA,156,413,294,708,119,351,0,237,6,401,22,0,91,26,343,48,12,0,0,200,12,56,305,370,62,288,255,40,6,1,106,45,0,184,69,978,6829,5851,56,121
AC,1023,PORTO ACRE,783,447,418,1069,199,560,0,171,38,233,35,0,230,193,251,78,11,0,0,278,22,29,29,870,225,136,679,92,745,5,271,462,0,353,282,1915,12324,10409,167,183
AC,1031,SANTA ROSA DO PURUS,184,372,13,263,101,125,0,10,0,60,2,0,12,1,0,16,0,0,0,79,0,2,1,17,4,425,77,6,0,0,88,60,0,68,32,986,3328,2342,16,83
AC,1040,MARECHAL THAUMATURGO,25,727,220,2092,26,520,0,144,1,231,5,0,8,14,391,118,10,0,0,419,5,4,2,96,81,4,513,1,0,0,126,522,0,122,44,2479,9540,7061,20,90
AC,1058,BRASILÉIA,165,726,525,2929,108,1212,0,244,102,128,95,0,111,26,826,67,8,0,0,139,3,23,32,416,184,125,1315,9,0,2,312,137,0,347,1345,2590,16025,13435,256,419
AC,1066,PORTO WALTER,2,639,96,552,13,1033,0,6,0,444,0,0,19,4,27,15,1,0,0,200,42,0,1,51,85,7,375,1,0,0,55,229,0,27,270,1440,6089,4649,20,58
AC,1074,CRUZEIRO DO SUL,313,7384,1821,3029,322,5419,0,396,143,5696,211,0,250,178,917,402,69,0,0,2627,1142,47,242,2935,1401,285,2048,30,0,3,295,1181,0,678,1780,8903,54480,45577,656,828
AC,1082,RODRIGUES ALVES,19,562,284,842,17,843,0,57,0,769,11,0,93,8,43,451,7,0,0,244,503,4,2,127,338,16,183,128,0,0,170,252,0,167,1668,2480,11008,8528,53,115
AC,1090,MÂNCIO LIMA,304,823,394,2405,43,628,0,73,9,912,25,0,49,44,108,110,5,0,0,174,40,7,16,106,200,59,538,4,1,0,18,339,0,123,1191,2676,12424,9748,82,230
AC,1104,JORDÃO,7,573,31,294,100,35,0,31,9,123,2,0,89,18,14,1,1,0,0,18,4,42,0,32,13,34,218,0,1,0,75,1370,0,13,8,1213,4794,3581,9,70
AC,1112,EPITACIOLÂNDIA,76,284,449,1451,24,424,0,139,24,66,118,0,49,51,658,47,103,0,0,308,3,25,25,774,98,302,353,37,0,0,705,145,0,798,467,1532,10775,9243,221,220
AC,1120,ACRELÂNDIA,373,371,261,540,63,263,0,1590,54,134,177,0,53,39,37,25,47,0,0,69,58,17,63,194,268,78,821,77,1,1,168,72,0,218,302,1548,8808,7260,145,185
AC,1139,FEIJÓ,99,2978,387,2671,3477,122,0,88,8,90,25,0,33,37,90,488,22,0,0,83,10,15,8,81,235,41,1276,16,0,3,86,407,0,162,23,5974,20547,14573,129,301
AC,1392,RIO BRANCO,8283,11091,15510,13022,10093,14459,0,7456,4229,6925,2525,0,4657,4252,4646,3419,793,0,0,9113,690,1349,1848,8385,6169,7441,14433,3202,278,247,2813,3805,0,13395,4358,43517,255361,211844,4360,6534
AC,1457,SENA MADUREIRA,87,2917,335,860,1448,5869,0,201,25,190,18,0,92,45,30,148,19,0,0,786,86,15,22,668,273,167,3360,51,0,2,93,321,0,292,139,7780,28313,20533,234,499
AC,1473,TARAUACÁ,117,1499,825,1527,311,511,0,138,732,444,115,0,290,138,277,35,24,0,0,665,58,41,30,1021,122,454,1567,16,0,2,95,3931,0,703,114,7358,25560,18202,270,448
AC,1490,XAPURI,63,115,225,1917,48,459,0,54,24,115,24,0,48,34,2405,84,3,0,0,69,1,7,22,1622,139,72,160,99,0,0,36,117,0,466,33,1832,11399,9567,100,159
AC,1511,PLÁCIDO DE CASTRO,362,1006,368,767,207,410,0,736,9,231,83,0,94,55,143,86,16,0,0,176,21,24,851,211,62,373,570,156,1,0,499,346,0,404,65,1542,11453,9911,149,612
AC,1538,SENADOR GUIOMARD,1242,712,1089,874,221,1391,0,408,34,437,73,0,263,68,178,113,15,0,0,574,55,290,96,561,167,746,1481,168,23,3,724,180,0,764,144,2498,17102,14604,296,274
AC,1554,MANOEL URBANO,63,280,228,432,70,616,0,152,4,89,5,0,159,15,12,39,1,0,0,105,8,4,38,508,40,713,236,72,4,3,63,203,0,188,36,1862,6788,4926,54,155
AC,1570,ASSIS BRASIL,29,443,177,1179,48,63,0,59,12,91,27,0,71,6,216,24,28,0,0,28,2,0,12,58,15,24,299,5,0,0,35,454,0,367,57,1135,5727,4592,31,276
AL,27006,PARIPUEIRA,147,286,65,34,108,649,1,197,1,5,20,0,78,46,132,0,528,0,0,30,62,0,20,44,28,0,3297,33,9,89,119,10,45,166,8,1720,9425,7705,381,539
AL,27014,ÁGUA BRANCA,885,955,109,170,65,3458,1,34,0,2,6,0,7,177,13,0,925,0,0,1,100,0,0,3,124,0,469,25,7,17,989,36,202,401,5,3992,14874,10882,227,469
AL,27022,PARICONHA,14,653,1033,92,343,1559,0,14,0,1,2,0,2,8,5,0,612,0,0,6,219,0,3,3,54,0,383,14,0,6,214,94,69,49,10,1766,8279,6513,156,301
