SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS_NOMINAIS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS_NOMINAIS', 11, 'Partido Progressista')","('QT_VOTOS_NOMINAIS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS_NOMINAIS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS_NOMINAIS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 15, 'Movimento Democrático Brasileiro')","('QT_VOTOS_NOMINAIS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS_NOMINAIS', 17, 'Partido Social Liberal')","('QT_VOTOS_NOMINAIS', 18, 'Rede Sustentabilidade')","('QT_VOTOS_NOMINAIS', 19, 'Podemos')","('QT_VOTOS_NOMINAIS', 20, 'Partido Social Cristão')","('QT_VOTOS_NOMINAIS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS_NOMINAIS', 22, 'Partido da República')","('QT_VOTOS_NOMINAIS', 23, 'Partido Popular Socialista')","('QT_VOTOS_NOMINAIS', 25, 'Democratas')","('QT_VOTOS_NOMINAIS', 27, 'Democracia Cristã')","('QT_VOTOS_NOMINAIS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 29, 'Partido da Causa Operária')","('QT_VOTOS_NOMINAIS', 30, 'Partido Novo')","('QT_VOTOS_NOMINAIS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS_NOMINAIS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS_NOMINAIS', 35, 'Partido da Mulher Brasileira')","('QT_VOTOS_NOMINAIS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS_NOMINAIS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS_NOMINAIS', 43, 'Partido Verde')","('QT_VOTOS_NOMINAIS', 44, 'Partido Republicano Progressista')","('QT_VOTOS_NOMINAIS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS_NOMINAIS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS_NOMINAIS', 51, 'Patriota')","('QT_VOTOS_NOMINAIS', 54, 'Partido Pátria Livre')","('QT_VOTOS_NOMINAIS', 55, 'Partido Social Democrático')","('QT_VOTOS_NOMINAIS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS_NOMINAIS', 70, 'AVANTE')","('QT_VOTOS_NOMINAIS', 77, 'Solidariedade')","('QT_VOTOS_NOMINAIS', 90, 'Partido Republicano da Ordem Social')",QT_ABSTENCOES,QT_APTOS_TOT,QT_COMPARECIMENTO,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS
AC,1007,BUJARI,166,409,474,608,26,553,0,307,18,79,25,0,355,610,310,9,1,0,0,32,33,95,27,132,12,52,763,7,0,20,66,574,1,370,138,1691,8684,6993,126,125
AC,1015,CAPIXABA,25,525,783,569,6,349,0,802,7,401,29,0,177,118,65,1,4,0,0,7,10,37,39,199,10,9,406,24,0,1,76,73,0,606,12,978,6829,5851,47,56
AC,1023,PORTO ACRE,367,482,604,1596,39,1001,0,728,32,75,77,0,524,167,580,5,2,0,0,21,27,76,68,258,88,19,775,9,0,15,258,418,5,843,73,1915,12324,10409,220,132
AC,1031,SANTA ROSA DO PURUS,2,76,114,303,19,311,0,18,3,45,56,0,294,38,277,0,0,0,0,28,9,64,0,30,4,29,156,18,0,1,66,93,0,11,3,986,3328,2342,20,47
AC,1040,MARECHAL THAUMATURGO,28,333,719,465,4,1916,0,73,2,30,33,0,38,44,140,2,0,0,0,18,54,1,0,247,40,3,113,667,2,0,26,1029,0,490,26,2479,9540,7061,25,82
AC,1058,BRASILÉIA,89,710,499,2794,206,1328,0,998,26,24,257,0,599,167,1077,2,0,0,0,68,79,94,137,122,120,12,272,3,0,8,222,390,0,1210,272,2590,16025,13435,390,220
AC,1066,PORTO WALTER,33,447,164,57,6,2067,0,14,0,10,10,0,113,65,34,0,2,0,0,1,31,217,0,287,16,3,206,11,4,0,37,349,0,6,21,1440,6089,4649,22,45
AC,1074,CRUZEIRO DO SUL,675,5485,2519,1279,122,14798,0,836,54,724,383,0,239,254,1457,52,9,0,0,43,2215,332,78,2052,2141,142,856,274,61,35,737,1456,12,1581,286,8903,54480,45577,1000,812
AC,1082,RODRIGUES ALVES,45,458,177,558,1,2993,0,89,6,181,21,0,75,49,89,17,0,0,0,5,320,72,6,598,96,12,297,34,0,0,708,504,0,57,331,2480,11008,8528,63,97
AC,1090,MÂNCIO LIMA,53,675,841,926,11,2885,0,105,6,52,30,0,529,66,54,0,2,0,0,10,212,16,11,310,128,74,310,214,1,1,372,590,1,254,190,2676,12424,9748,99,124
AC,1104,JORDÃO,0,177,1437,74,1,307,0,12,1,24,1,0,87,5,83,0,0,0,0,7,7,5,2,73,8,0,149,41,0,0,88,659,0,6,2,1213,4794,3581,7,49
AC,1112,EPITACIOLÂNDIA,107,256,599,1405,66,646,0,591,17,43,316,0,295,334,450,1,3,0,0,58,62,50,187,676,35,19,296,3,0,3,420,252,2,748,61,1532,10775,9243,268,187
AC,1120,ACRELÂNDIA,156,443,268,495,6,174,0,3158,28,27,92,0,492,28,234,0,1,0,0,3,9,9,12,248,9,6,125,7,0,0,156,122,1,207,55,1548,8808,7260,131,128
