SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS_NOMINAIS', 11, 'Partido Progressista')","('QT_VOTOS_NOMINAIS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS_NOMINAIS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS_NOMINAIS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 15, 'Movimento Democrático Brasileiro')","('QT_VOTOS_NOMINAIS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS_NOMINAIS', 17, 'Partido Social Liberal')","('QT_VOTOS_NOMINAIS', 18, 'Rede Sustentabilidade')","('QT_VOTOS_NOMINAIS', 19, 'Podemos')","('QT_VOTOS_NOMINAIS', 20, 'Partido Social Cristão')","('QT_VOTOS_NOMINAIS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS_NOMINAIS', 22, 'Partido da República')","('QT_VOTOS_NOMINAIS', 25, 'Democratas')","('QT_VOTOS_NOMINAIS', 27, 'Democracia Cristã')","('QT_VOTOS_NOMINAIS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 29, 'Partido da Causa Operária')","('QT_VOTOS_NOMINAIS', 30, 'Partido Novo')","('QT_VOTOS_NOMINAIS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS_NOMINAIS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS_NOMINAIS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS_NOMINAIS', 43, 'Partido Verde')","('QT_VOTOS_NOMINAIS', 44, 'Partido Republicano Progressista')","('QT_VOTOS_NOMINAIS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS_NOMINAIS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS_NOMINAIS', 51, 'Patriota')","('QT_VOTOS_NOMINAIS', 55, 'Partido Social Democrático')","('QT_VOTOS_NOMINAIS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS_NOMINAIS', 70, 'AVANTE')","('QT_VOTOS_NOMINAIS', 77, 'Solidariedade')","('QT_VOTOS_NOMINAIS', 90, 'Partido Republicano da Ordem Social')",QT_ABSTENCOES,QT_APTOS_TOT,QT_COMPARECIMENTO,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS
AC,1007,BUJARI,4024,0,1990,0,0,0,483,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1691,8684,6993,97,357
AC,1015,CAPIXABA,3004,0,1910,0,0,0,621,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,6829,5851,61,247
AC,1023,PORTO ACRE,5164,0,3422,0,0,0,1030,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1915,12324,10409,195,554
AC,1031,SANTA ROSA DO PURUS,828,0,1186,0,0,0,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,986,3328,2342,13,191
AC,1040,MARECHAL THAUMATURGO,3355,0,3178,0,0,0,241,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2479,9540,7061,35,247
AC,1058,BRASILÉIA,6933,0,4615,0,0,0,938,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2590,16025,13435,270,644
AC,1066,PORTO WALTER,2474,0,1777,0,0,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1440,6089,4649,38,207
AC,1074,CRUZEIRO DO SUL,26384,0,11218,0,0,0,4920,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8903,54480,45577,790,2123
AC,1082,RODRIGUES ALVES,4592,0,3074,0,0,0,432,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2480,11008,8528,97,325
AC,1090,MÂNCIO LIMA,5429,0,3383,0,0,0,386,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676,12424,9748,106,428
AC,1104,JORDÃO,1550,0,1773,0,0,0,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,4794,3581,11,153
AC,1112,EPITACIOLÂNDIA,4694,0,2903,0,0,0,921,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1532,10775,9243,245,454
AC,1120,ACRELÂNDIA,4007,0,1625,0,0,0,1120,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,8808,7260,139,353
AC,1139,FEIJÓ,5447,0,7646,0,0,0,681,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5974,20547,14573,162,597
AC,1392,RIO BRANCO,105370,0,64165,0,0,0,27710,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0,43517,255361,211844,3621,8368
AC,1457,SENA MADUREIRA,12552,0,5584,0,0,0,1112,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,7780,28313,20533,348,876
AC,1473,TARAUACÁ,6478,0,8761,0,0,0,918,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7358,25560,18202,321,992
AC,1490,XAPURI,4296,0,4381,0,0,0,325,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1832,11399,9567,114,423
AC,1511,PLÁCIDO DE CASTRO,5255,0,2866,0,0,0,1081,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1542,11453,9911,186,480
AC,1538,SENADOR GUIOMARD,7834,0,4375,0,0,0,1406,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2498,17102,14604,273,643
AC,1554,MANOEL URBANO,2247,0,2178,0,0,0,179,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,6788,4926,71,241
AC,1570,ASSIS BRASIL,2076,0,2061,0,0,0,189,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1135,5727,4592,45,212
AL,27006,PARIPUEIRA,0,0,0,0,4122,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,411,1720,9425,7705,569,1427
AL,27014,ÁGUA BRANCA,0,0,0,0,7478,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,739,3992,14874,10882,372,1937
AL,27022,PARICONHA,0,0,0,0,4700,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,115,1766,8279,6513,239,1203
AL,27030,ANADIA,0,0,0,0,5794,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,306,3778,12607,8829,528,1679
AL,27049,ESTRELA DE ALAGOAS,0,0,0,0,4528,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,604,3664,11620,7956,546,1835
AL,27057,ARAPIRACA,0,0,0,0,77764,0,9015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478,0,0,0,0,0,3219,25124,140793,115669,6362,16831
AL,27065,JEQUIÁ DA PRAIA,0,0,0,0,3584,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,240,1549,7264,5715,348,965
AL,27073,ATALAIA,0,0,0,0,14571,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,1390,7607,30373,22766,1402,3526
AL,27081,CAMPESTRE,0,0,0,0,2308,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,239,1414,5256,3842,259,706
AL,27090,BARRA DE SANTO ANTÔNIO,0,0,0,0,5071,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,433,2664,11459,8795,688,1772
AL,27111,BARRA DE SÃO MIGUEL,0,0,0,0,3352,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,389,1115,6464,5349,246,733
AL,27138,BATALHA,0,0,0,0,4581,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,1904,2937,12167,9230,374,1495
AL,27154,BELÉM,0,0,0,0,2535,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,136,1127,4797,3670,222,585
AL,27170,BELO MONTE,0,0,0,0,3137,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,46,1306,5137,3831,103,425
AL,27197,BOCA DA MATA,0,0,0,0,8150,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,844,5901,19528,13627,970,2545
AL,27219,BRANQUINHA,0,0,0,0,3945,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,167,2505,8067,5562,288,874
AL,27235,CACIMBINHAS,0,0,0,0,4354,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,178,2092,8027,5935,165,856
AL,27251,CAJUEIRO,0,0,0,0,5989,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,918,4180,14267,10087,599,1933
AL,27278,CAMPO ALEGRE,0,0,0,0,11691,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,569,6537,23928,17391,1040,3108
AL,27294,CAMPO GRANDE,0,0,0,0,4651,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,91,2055,8150,6095,286,906
AL,27316,CANAPI,0,0,0,0,7116,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,79,3772,13118,9346,361,1414
AL,27332,CAPELA,0,0,0,0,6053,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,897,3058,12855,9797,445,1567
AL,27359,CARNEIROS,0,0,0,0,3108,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,437,1656,6343,4687,143,813
AL,27375,CHÃ PRETA,0,0,0,0,2555,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,240,1627,5862,4235,225,928
AL,27391,COITÉ DO NÓIA,0,0,0,0,3871,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,726,2041,8382,6341,327,1117
AL,27413,COLÔNIA LEOPOLDINA,0,0,0,0,5273,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,884,4380,14949,10569,772,2356
AL,27430,COQUEIRO SECO,0,0,0,0,2414,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,205,772,4544,3772,218,666
AL,27456,CORURIPE,0,0,0,0,15731,0,2813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,938,9566,38409,28843,2276,6662
AL,27472,DELMIRO GOUVEIA,0,0,0,0,20151,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,374,8555,37061,28506,1368,5077
AL,27499,DOIS RIACHOS,0,0,0,0,3767,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,595,2528,8521,5993,227,1083
AL,27510,FEIRA GRANDE,0,0,0,0,9058,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,233,4044,16908,12864,802,2209
