SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS_NOMINAIS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS_NOMINAIS', 11, 'Partido Progressista')","('QT_VOTOS_NOMINAIS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS_NOMINAIS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS_NOMINAIS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 15, 'Movimento Democrático Brasileiro')","('QT_VOTOS_NOMINAIS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS_NOMINAIS', 17, 'Partido Social Liberal')","('QT_VOTOS_NOMINAIS', 18, 'Rede Sustentabilidade')","('QT_VOTOS_NOMINAIS', 19, 'Podemos')","('QT_VOTOS_NOMINAIS', 20, 'Partido Social Cristão')","('QT_VOTOS_NOMINAIS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS_NOMINAIS', 22, 'Partido da República')","('QT_VOTOS_NOMINAIS', 23, 'Partido Popular Socialista')","('QT_VOTOS_NOMINAIS', 25, 'Democratas')","('QT_VOTOS_NOMINAIS', 27, 'Democracia Cristã')","('QT_VOTOS_NOMINAIS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS_NOMINAIS', 29, 'Partido da Causa Operária')","('QT_VOTOS_NOMINAIS', 30, 'Partido Novo')","('QT_VOTOS_NOMINAIS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS_NOMINAIS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS_NOMINAIS', 35, 'Partido da Mulher Brasileira')","('QT_VOTOS_NOMINAIS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS_NOMINAIS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS_NOMINAIS', 43, 'Partido Verde')","('QT_VOTOS_NOMINAIS', 44, 'Partido Republicano Progressista')","('QT_VOTOS_NOMINAIS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS_NOMINAIS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS_NOMINAIS', 51, 'Patriota')","('QT_VOTOS_NOMINAIS', 54, 'Partido Pátria Livre')","('QT_VOTOS_NOMINAIS', 55, 'Partido Social Democrático')","('QT_VOTOS_NOMINAIS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS_NOMINAIS', 70, 'AVANTE')","('QT_VOTOS_NOMINAIS', 77, 'Solidariedade')","('QT_VOTOS_NOMINAIS', 90, 'Partido Republicano da Ordem Social')",QT_ABSTENCOES,QT_APTOS_TOT,QT_COMPARECIMENTO,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS
AC,1007,BUJARI,0,0,0,3272,0,3367,0,296,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4326,0,0,0,0,1691,8684,6993,415,1002
AC,1015,CAPIXABA,0,0,0,2906,0,3021,0,405,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566,0,0,0,0,978,6829,5851,267,744
AC,1023,PORTO ACRE,0,0,0,5613,0,4671,0,579,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5754,0,0,0,0,1915,12324,10409,699,1698
AC,1031,SANTA ROSA DO PURUS,0,0,0,2433,0,606,0,111,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,986,3328,2342,74,530
AC,1040,MARECHAL THAUMATURGO,0,0,0,6249,0,3154,0,152,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347,0,0,0,0,2479,9540,7061,117,728
AC,1058,BRASILÉIA,0,0,0,8730,0,6449,0,505,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6902,0,0,0,0,2590,16025,13435,988,2037
AC,1066,PORTO WALTER,0,0,0,3176,0,2359,0,68,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,0,0,0,0,1440,6089,4649,114,583
AC,1074,CRUZEIRO DO SUL,0,0,0,20309,0,22622,0,1769,10584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26516,0,0,0,0,8903,54480,45577,3238,6116
AC,1082,RODRIGUES ALVES,0,0,0,5844,0,4064,0,208,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4776,0,0,0,0,2480,11008,8528,323,1011
AC,1090,MÂNCIO LIMA,0,0,0,6501,0,4675,0,141,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5627,0,0,0,0,2676,12424,9748,430,1229
AC,1104,JORDÃO,0,0,0,3248,0,1303,0,72,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,1213,4794,3581,48,480
AC,1112,EPITACIOLÂNDIA,0,0,0,5452,0,4321,0,441,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4856,0,0,0,0,1532,10775,9243,781,1500
AC,1120,ACRELÂNDIA,0,0,0,2547,0,3817,0,923,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4478,0,0,0,0,1548,8808,7260,600,1217
