"","NM_PARLA","PARTY","STATE","COD_PARLA","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"1","ABELARDO CAMARINHA","PSB","São Paulo",329,82,11,12,41,0.671930253505707,0.842465753424658,0.18914982676506,-0.385828137397766,0,0,0
"2","ABELARDO LUPION","DEM","Paraná",440,62,5,7,110,0.827644407749176,0.934782608695652,-0.674619138240814,-0.738165974617004,0,0,0
"3","ABELARDO LUPION","PFL","Paraná",440,10,0,0,12,0.948358356952667,1,-0.644237697124481,0.764825403690338,0,0,0
"4","ACÉLIO CASAGRANDE","PMDB","Santa Catarina",535,92,15,6,60,0.744538426399231,0.878612716763006,0.20537643134594,-0.702180624008179,0,0,0
"5","ADELMIR SANTANA","DEM","Distrito Federal",948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ADEMIR CAMILO","PDT","Minas Gerais",220,156,21,18,92,0.736145615577698,0.86411149825784,0.239550217986107,0.155485227704048,0,0,0
"7","ADÃO PRETTO","PT","Rio Grande do Sul",486,123,3,4,59,0.894052386283875,0.962962962962963,0.708715200424194,0.467171341180801,0,0,0
"8","AELTON FREITAS","PR","Minas Gerais",224,160,12,17,81,0.804525554180145,0.892592592592593,0.415526479482651,0.107072472572327,0,0,0
"9","AFFONSO CAMARGO","PSDB","Paraná",441,77,4,5,146,0.823084890842438,0.961206896551724,-0.737721562385559,0.142942011356354,0,0,0
"10","AFONSO HAMM","PP","Rio Grande do Sul",487,157,9,16,88,0.799505710601807,0.907407407407407,0.276138216257095,-0.154646053910255,0,0,0
"11","AGNALDO MUNIZ","PP","Rondonia",610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AGNALDO MUNIZ","PSC","Rondonia",610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AIRTON ROVEDA","PPS","Paraná",524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","AIRTON ROVEDA","PR","Paraná",524,147,10,9,68,0.830443799495697,0.918803418803419,0.464751750230789,-0.104216702282429,0,0,0
"15","ALBANO FRANCO","PSDB","Sergipe",173,92,3,6,168,0.845181465148926,0.966542750929368,-0.726562976837158,0.138909325003624,0,0,0
"16","ALBERTO FRAGA","DEM","Distrito Federal",408,24,3,1,39,0.831972062587738,0.940298507462687,-0.709188580513,-0.705018937587738,0,0,0
"17","ALBERTO FRAGA","PFL","Distrito Federal",408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ALBERTO SILVA","PMDB","Piauí",111,19,1,0,10,0.875998973846436,0.966666666666667,0.558638632297516,0.829411149024963,0,0,0
"19","ALBÉRICO FILHO","PMDB","Maranhão",594,14,2,0,14,0.774623930454254,0.933333333333333,0.528754532337189,-0.391509860754013,0,0,0
"20","ALCENI GUERRA","DEM","Paraná",442,68,9,9,148,0.836687922477722,0.923076923076923,-0.668525338172913,-0.743689358234406,0,0,0
"21","ALCENI GUERRA","PFL","Paraná",442,12,2,1,17,0.907718420028687,0.90625,-0.727132797241211,0.686496675014496,0,0,0
"22","ALDO REBELO","PCdoB","São Paulo",331,155,5,13,97,0.872193336486816,0.933333333333333,0.759709537029266,-0.0856254100799561,0,0,0
"23","ALESSANDRO SABINO","PMDB","Amapá",558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ALEX CANZIANI","PTB","Paraná",445,133,10,4,80,0.818509519100189,0.938325991189427,0.377462446689606,-0.14256626367569,0,0,0
"25","ALEXANDRE CARDOSO","PSB","Rio de Janeiro",284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ALEXANDRE SANTOS","PMDB","Rio de Janeiro",285,139,4,3,70,0.868090867996216,0.967592592592593,0.662984192371368,-0.412510395050049,0,0,0
"27","ALEXANDRE SILVEIRA","PPS","Minas Gerais",225,80,21,17,36,0.611582696437836,0.753246753246753,-0.00690016802400351,-0.206978142261505,0,0,0
"28","ALFREDO KAEFER","PSDB","Paraná",451,76,6,8,116,0.824460804462433,0.932038834951456,-0.857902765274048,0.0564606934785843,0,0,0
"29","ALICE PORTUGAL","PCdoB","Bahia",180,187,11,17,119,0.817474722862244,0.916167664670659,0.520099222660065,0.401059955358505,0,0,0
"30","ALINE CORRÊA","PP","São Paulo",330,105,4,9,69,0.879670679569244,0.93048128342246,0.646566152572632,0.0793862268328667,0,0,0
"31","ALMEIDA LIMA","PMDB","Sergipe",830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ALOIZIO MERCADANTE","PT","São Paulo",871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ANA ARRAES","PSB","Pernambuco",140,155,25,7,102,0.777879118919373,0.889273356401384,0.528425276279449,-0.158005848526955,0,0,0
"34","ANDRE VARGAS","PT","Paraná",452,159,5,10,105,0.881016492843628,0.946236559139785,0.938084006309509,0.346407860517502,0,0,0
"35","ANDRE ZACHAROW","PMDB","Paraná",565,26,8,6,30,0.649340033531189,0.8,0.209751397371292,0.22347654402256,0,0,0
"36","ANDREIA ZITO","PSDB","Rio de Janeiro",283,88,4,6,162,0.814554989337921,0.961538461538462,-0.757451176643372,0.191366925835609,0,0,0
"37","ANDRÉ DE PAULA","DEM","Pernambuco",142,75,8,10,136,0.789183914661407,0.921397379912664,-0.700139939785004,-0.714005529880524,0,0,0
"38","ANDRÉ DE PAULA","PFL","Pernambuco",142,12,1,0,19,0.936600148677826,0.96875,-0.734753131866455,0.678334712982178,0,0,0
"39","ANDRÉ ZACHAROW","PMDB","Paraná",565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ANGELA AMIN","PP","Santa Catarina",471,185,37,28,118,0.672156095504761,0.823369565217391,0.105085335671902,-0.267295032739639,0,0,0
"41","ANGELA PORTELA","PT","Roraima",1,184,6,9,113,0.904699146747589,0.951923076923077,0.857133150100708,0.38271427154541,0,0,0
"42","ANGELA PORTELA","PTC","Roraima",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ANGELO VANHONI","PT","Paraná",453,165,6,3,97,0.883646249771118,0.966789667896679,0.822149574756622,0.419329673051834,0,0,0
"44","ANN PONTES","PMDB","Pará",611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ANSELMO DE JESUS","PT","Rondonia",47,207,8,6,133,0.873677909374237,0.96045197740113,0.84575480222702,0.427112907171249,0,0,0
"46","ANTONIO BULHÕES","PMDB","São Paulo",333,163,26,8,109,0.74540764093399,0.888888888888889,0.248895451426506,-0.705035448074341,0,0,0
"47","ANTONIO BULHÕES","PRB","São Paulo",333,38,2,1,15,0.850195944309235,0.946428571428571,0.395669102668762,-0.429740369319916,0,0,0
"48","ANTONIO CARLOS BISCAIA","PT","Rio de Janeiro",548,112,10,9,86,0.827635705471039,0.912442396313364,0.873475015163422,0.486869096755981,0,0,0
"49","ANTONIO CARLOS CHAMARIZ","PTB","Alagoas",567,69,4,7,32,0.781722128391266,0.901785714285714,0.427380740642548,-0.429013699293137,0,0,0
"50","ANTONIO CARLOS JUNIOR","DEM","Bahia",902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ANTONIO CARLOS MAGALHÃES NETO","DEM","Bahia",181,79,3,9,189,0.850249290466309,0.957142857142857,-0.705371916294098,-0.708837330341339,0,0,0
"52","ANTONIO CARLOS MAGALHÃES NETO","PFL","Bahia",181,11,0,1,14,0.834048867225647,0.961538461538462,-0.73209935426712,0.681197881698608,0,0,0
"53","ANTONIO CARLOS MENDES THAME","PSDB","São Paulo",332,72,16,10,170,0.784548699855804,0.902985074626866,-0.898668467998505,0.136650457978249,0,0,0
"54","ANTONIO CARLOS PANNUNZIO","PSDB","São Paulo",334,83,14,8,183,0.789744198322296,0.923611111111111,-0.864507973194122,0.212380468845367,0,0,0
"55","ANTONIO CARLOS VALADARES","PSB","Sergipe",829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ANTONIO CRUZ","PP","Mato Grosso do Sul",434,187,17,21,87,0.762232601642609,0.878205128205128,0.366256088018417,0.073250412940979,0,0,0
"57","ANTONIO FEIJÃO","PSDB","Amapá",582,20,0,5,25,0.663955092430115,0.9,-0.708091199398041,-0.0295057315379381,0,0,0
"58","ANTONIO FEIJÃO","PTC","Amapá",582,11,0,5,19,0.684808433055878,0.857142857142857,-0.588064730167389,-0.227506458759308,0,0,0
"59","ANTONIO JOSÉ MEDEIROS","PT","Piauí",113,46,1,4,29,0.819360256195068,0.9375,0.819802045822144,0.0812076851725578,0,0,0
"60","ANTONIO PALOCCI","PT","São Paulo",335,125,5,3,101,0.914369285106659,0.965811965811966,0.804293632507324,0.223956078290939,0,0,0
"61","ANTÔNIO ANDRADE","PMDB","Minas Gerais",227,205,4,8,107,0.893124997615814,0.962962962962963,0.592110395431519,-0.435281157493591,0,0,0
"62","ANTÔNIO CARLOS BIFFI","PT","Mato Grosso do Sul",432,207,6,5,141,0.901285290718079,0.969359331476323,0.841913819313049,0.408349514007568,0,0,0
"63","ANTÔNIO ROBERTO","PV","Minas Gerais",229,156,19,12,102,0.780996084213257,0.892733564013841,0.314888447523117,0.302846610546112,0,0,0
"64","ANÍBAL GOMES","PMDB","Ceará",87,151,5,6,80,0.838663220405579,0.954545454545455,0.611510038375854,-0.353956252336502,0,0,0
"65","ARACELY DE PAULA","PR","Minas Gerais",223,179,8,16,121,0.868532061576843,0.925925925925926,0.589408934116364,0.063753642141819,0,0,0
"66","ARIOSTO HOLANDA","PSB","Ceará",92,235,14,11,146,0.854417145252228,0.938423645320197,0.602968215942383,-0.18329045176506,0,0,0
"67","ARLINDO CHINAGLIA","PT","São Paulo",336,34,0,3,33,0.790839910507202,0.957142857142857,0.902180254459381,0.431359201669693,0,0,0
"68","ARMANDO ABÍLIO","PTB","Paraíba",129,208,6,12,131,0.88321590423584,0.949579831932773,0.71522068977356,0.141951352357864,0,0,0
"69","ARMANDO MONTEIRO","PTB","Pernambuco",144,114,32,17,66,0.614820718765259,0.786026200873362,0.113113611936569,-0.460181295871735,0,0,0
"70","ARNALDO FARIA DE SÁ","PTB","São Paulo",337,94,50,89,146,0.45550474524498,0.633245382585752,-0.303574502468109,0.0225330032408237,0,0,0
"71","ARNALDO JARDIM","PPS","São Paulo",339,88,10,36,146,0.695923089981079,0.835714285714286,-0.56204742193222,-0.0863270983099937,0,0,0
"72","ARNALDO MADEIRA","PSDB","São Paulo",343,83,36,12,225,0.663240671157837,0.865168539325843,-0.85031920671463,0.247606933116913,0,0,0
"73","ARNALDO VIANNA","PDT","Rio de Janeiro",286,176,25,15,116,0.78094094991684,0.879518072289157,0.353441774845123,-0.0269195754081011,0,0,0
"74","ARNON BEZERRA","PTB","Ceará",90,166,12,13,75,0.823170185089111,0.906015037593985,0.481856167316437,0.0530108511447906,0,0,0
"75","AROLDE DE OLIVEIRA","DEM","Rio de Janeiro",288,27,8,3,57,0.752996742725372,0.884210526315789,-0.703833222389221,-0.617508113384247,0,0,0
"76","AROLDE DE OLIVEIRA","PFL","Rio de Janeiro",288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ARTHUR VIRGÍLIO","PSDB","Amazonas",801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ASDRUBAL BENTES","PMDB","Pará",20,183,5,5,93,0.886861205101013,0.965034965034965,0.558903992176056,-0.588399589061737,0,0,0
"79","ASSIS DO COUTO","PT","Paraná",443,192,6,5,115,0.909473121166229,0.965408805031447,0.913688540458679,0.40641513466835,0,0,0
"80","ASSIS MIGUEL DO COUTO","PT","Paraná",443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AUGUSTO BOTELHO","PT","Roraima",815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","AUGUSTO CARVALHO","PPS","Distrito Federal",407,63,11,32,103,0.67168527841568,0.794258373205742,-0.94483095407486,-0.105148561298847,0,0,0
"83","AUGUSTO FARIAS","PTB","Alagoas",531,186,13,12,98,0.789629578590393,0.919093851132686,0.302454650402069,0.0112556889653206,0,0,0
"84","AYRTON XEREZ","DEM","Rio de Janeiro",529,29,8,4,116,0.827854752540588,0.923566878980892,-0.689115166664124,-0.72465181350708,0,0,0
"85","AYRTON XEREZ","PFL","Rio de Janeiro",529,11,0,2,14,0.878592908382416,0.925925925925926,-0.798480153083801,0.602021038532257,0,0,0
"86","B. SÁ","PSB","Piauí",540,80,4,2,47,0.89762145280838,0.954887218045113,0.643615901470184,0.130708009004593,0,0,0
"87","BARBOSA NETO","PDT","Paraná",455,118,27,11,94,0.706106245517731,0.848,0.187258571386337,0.0393525771796703,0,0,0
"88","BEL MESQUITA","PMDB","Pará",18,171,4,6,105,0.853916883468628,0.965034965034965,0.515174746513367,-0.70688796043396,0,0,0
"89","BENE CAMACHO","PTB","Maranhão",601,30,0,1,10,0.903923511505127,0.975609756097561,0.436762034893036,-0.300678342580795,0,0,0
"90","BENEDITO DE LIRA","PP","Alagoas",162,195,5,11,116,0.875287532806396,0.951070336391437,0.609562337398529,-0.033163171261549,0,0,0
"91","BERNARDO ARISTON","PMDB","Rio de Janeiro",291,117,4,7,65,0.831295728683472,0.94300518134715,0.420976221561432,-0.524839997291565,0,0,0
"92","BETINHO ROSADO","DEM","Rio Grande do Norte",542,106,24,9,67,0.66027158498764,0.839805825242718,0.110380388796329,-0.466854393482208,0,0,0
"93","BETO ALBUQUERQUE","PSB","Rio Grande do Sul",490,134,9,9,85,0.846372127532959,0.924050632911392,0.658688485622406,-0.0747885033488274,0,0,0
"94","BETO FARO","PT","Pará",19,227,3,4,154,0.926362872123718,0.981958762886598,0.951986312866211,0.306140780448914,0,0,0
"95","BETO MANSUR","PP","São Paulo",340,121,12,14,74,0.69017881155014,0.882352941176471,0.200039997696877,0.110495917499065,0,0,0
"96","BILAC PINTO","PR","Minas Gerais",232,171,11,20,101,0.809387981891632,0.897689768976898,0.399882912635803,0.109788224101067,0,0,0
"97","BISPO GÊ TENUTA","DEM","São Paulo",526,36,6,7,42,0.773407161235809,0.857142857142857,-0.832988858222961,-0.553289771080017,0,0,0
"98","BISPO GÊ TENUTA","PFL","São Paulo",526,7,0,0,13,0.978290975093842,1,-0.688980758190155,0.724779605865479,0,0,0
"99","BONIFÁCIO DE ANDRADA","PSDB","Minas Gerais",221,68,4,5,102,0.821581602096558,0.949720670391061,-0.737740278244019,0.0539789199829102,0,0,0
"100","BRIZOLA NETO","PDT","Rio de Janeiro",287,146,15,7,100,0.797790884971619,0.917910447761194,0.452318459749222,0.0665533021092415,0,0,0
"101","BRUNO ARAÚJO","PSDB","Pernambuco",146,81,2,5,155,0.851739525794983,0.97119341563786,-0.804153025150299,0.148328647017479,0,0,0
"102","BRUNO RODRIGUES","PSDB","Pernambuco",151,98,4,8,158,0.828348219394684,0.955223880597015,-0.734990179538727,0.0917203724384308,0,0,0
"103","BUSATO","PTB","Rio Grande do Sul",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","CAMILO COLA","PMDB","Espírito Santo",274,171,4,2,68,0.900383055210114,0.975510204081633,0.602081298828125,-0.547834575176239,0,0,0
"105","CAPITÃO ASSUMÇÃO","PSB","Espírito Santo",576,61,22,8,51,0.619505882263184,0.788732394366197,0.0415872447192669,0.195007935166359,0,0,0
"106","CARLITO MERSS","PT","Santa Catarina",476,118,2,2,72,0.952526748180389,0.979381443298969,0.891751706600189,0.15973998606205,0,0,0
"107","CARLOS  MELLES","DEM","Minas Gerais",226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","CARLOS ABICALIL","PT","Mato Grosso",399,190,5,6,137,0.913684070110321,0.967455621301775,0.861363232135773,0.240764319896698,0,0,0
"109","CARLOS ALBERTO CANUTO","PMDB","Alagoas",165,167,4,3,109,0.909259676933289,0.975265017667845,0.56915670633316,-0.327109932899475,0,0,0
"110","CARLOS ALBERTO CANUTO","PSC","Alagoas",165,39,7,3,21,0.708890438079834,0.857142857142857,0.0714664235711098,0.00917194969952106,0,0,0
"111","CARLOS ALBERTO LERÉIA","PSDB","Goiás",415,70,5,15,132,0.774584054946899,0.90990990990991,-0.69007796049118,0.200406223535538,0,0,0
"112","CARLOS BEZERRA","PMDB","Mato Grosso",400,184,8,5,89,0.873725473880768,0.954545454545455,0.5582275390625,-0.618184745311737,0,0,0
"113","CARLOS BRANDÃO","PSDB","Maranhão",68,86,10,7,125,0.783978521823883,0.925438596491228,-0.835472941398621,0.215843886137009,0,0,0
"114","CARLOS EDUARDO CADOCA","PMDB","Pernambuco",152,59,4,2,34,0.810192048549652,0.939393939393939,0.239652514457703,-0.234592959284782,0,0,0
"115","CARLOS EDUARDO CADOCA","PSC","Pernambuco",152,137,7,3,90,0.851886749267578,0.957805907172996,0.383993744850159,-0.251748979091644,0,0,0
"116","CARLOS MELLES","DEM","Minas Gerais",226,42,2,7,80,0.836203098297119,0.931297709923664,-0.671775937080383,-0.74075448513031,0,0,0
"117","CARLOS MELLES","PFL","Minas Gerais",226,9,1,0,14,0.947179615497589,0.958333333333333,-0.768830478191376,0.639452576637268,0,0,0
"118","CARLOS SAMPAIO","PSDB","São Paulo",338,65,7,7,118,0.786643385887146,0.928934010152284,-0.758412778377533,0.0731195285916328,0,0,0
"119","CARLOS SANTANA","PT","Rio de Janeiro",290,184,7,6,125,0.900708198547363,0.959627329192547,0.784404814243317,0.426831185817719,0,0,0
"120","CARLOS SOUZA","PP","Amazonas",37,71,6,8,43,0.816771328449249,0.890625,0.497073203325272,0.290714889764786,0,0,0
"121","CARLOS SOUZA","PRB","Amazonas",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","CARLOS WILLIAN","PTC","Minas Gerais",222,132,10,4,59,0.839357852935791,0.931707317073171,0.565410733222961,-0.567230641841888,0,0,0
"123","CARLOS WILSON","PT","Pernambuco",153,39,1,1,21,0.909953594207764,0.967741935483871,0.764155268669128,0.119376309216022,0,0,0
"124","CARLOS ZARATTINI","PT","São Paulo",398,194,7,4,129,0.90258800983429,0.967065868263473,0.872960567474365,0.487790882587433,0,0,0
"125","CASSIO TANIGUCHI","DEM","Paraná",457,21,0,1,26,0.830131590366364,0.979166666666667,-0.673036158084869,-0.739609599113464,0,0,0
