NM_PARLA,COD_PARLA,STATE,PARTY,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1
ABEL MESQUITA JR.,1,Roraima,DEM,183,28,18,162,0.755549729,0.882352941,0.28301394,-0.355931818,0,0,0
ABEL MESQUITA JR.,1,Roraima,PDT,98,24,17,77,0.63018626,0.810185185,0.252876967,0.123194084,0,0,0
ABEL MESQUITA JR.,1,Roraima,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABEL SALVADOR MESQUITA JUNIOR,1,Roraima,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACIR GURGACZ,916,Rondonia,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAIL CARNEIRO,92,Ceará,PHS,114,22,18,68,0.698602498,0.81981982,0.129128024,-0.426589161,0,0,0
ADAIL CARNEIRO,92,Ceará,PP,97,2,4,93,0.893470228,0.969387755,0.608593762,-0.652897239,0,0,0
ADAIL CARNEIRO,92,Ceará,Podemos,36,1,3,38,0.855402529,0.948717949,0.537972569,0.108470723,0,0,0
ADALBERTO CAVALCANTI,138,Pernambuco,Avante,80,4,2,77,0.888118148,0.963190184,0.680051029,-0.383717,0,0,0
ADALBERTO CAVALCANTI,138,Pernambuco,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADALBERTO CAVALCANTI,138,Pernambuco,PTB,198,12,9,136,0.832917213,0.94084507,0.364452034,-0.822430551,0,0,0
ADALBERTO CAVALCANTI,138,Pernambuco,PTdoB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADELMO CARNEIRO LEÃO,221,Minas Gerais,PT,259,21,14,455,0.84690541,0.953271028,-0.635433495,0.13785091,0,0,0
ADELSON BARRETO,175,Sergipe,PR,215,27,21,193,0.749985099,0.894736842,0.171545789,-0.054877419,0,0,0
ADELSON BARRETO,175,Sergipe,PTB,107,20,24,102,0.664568722,0.826086957,0.475800186,0.058113247,0,0,0
ADEMIR CAMILO,520,Minas Gerais,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADEMIR CAMILO,520,Minas Gerais,PODE,17,0,2,9,0.758717239,0.928571429,0.401509136,-0.91585505,0,0,0
ADEMIR CAMILO,520,Minas Gerais,PROS,101,37,36,76,0.553923011,0.708,0.395231187,0.122606777,0,0,0
ADEMIR CAMILO,520,Minas Gerais,PTN,81,18,37,66,0.535556853,0.727722772,-0.04166276,0.058172312,0,0,0
ADEMIR CAMILO,520,Minas Gerais,Podemos,33,11,6,41,0.725313365,0.813186813,0.16596821,-0.174211726,0,0,0
ADILTON SACHETTI,401,Mato Grosso,PRB,45,2,6,32,0.807024062,0.905882353,0.378427744,-0.596002638,0,0,0
ADILTON SACHETTI,401,Mato Grosso,PSB,231,37,27,204,0.738730371,0.871743487,0.582670033,0.04977886,0,0,0
ADILTON SACHETTI,401,Mato Grosso,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADÉRMIS MARINI,596,São Paulo,PSDB,35,7,5,29,0.67840153,0.842105263,0.368969202,0.203345507,0,0,0
AELTON FREITAS,224,Minas Gerais,PR,324,20,9,244,0.848823428,0.951423786,0.254926175,-0.821562231,0,0,0
AFONSO FLORENCE,182,Bahia,PT,226,16,7,390,0.862219036,0.96400626,-0.640728533,0.020016994,0,0,0
AFONSO HAMM,487,Rio Grande do Sul,PP,305,49,56,298,0.712297678,0.851694915,0.439342678,0.339424551,0,0,0
AFONSO MOTTA,490,Rio Grande do Sul,PDT,237,41,86,366,0.709983885,0.826027397,-0.218829378,0.232397512,0,0,0
AGUINALDO RIBEIRO,129,Paraíba,PP,284,18,12,185,0.821383297,0.93987976,0.230194703,-0.921098709,0,0,0
AIRTON SANDOVAL,917,São Paulo,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIRTON SANDOVAL,917,São Paulo,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALAN RICK,53,Acre,DEM,83,15,15,77,0.720914721,0.842105263,0.233431235,-0.129353821,0,0,0
ALAN RICK,53,Acre,PRB,263,41,31,190,0.729726851,0.862857143,0.222774103,-0.115008324,0,0,0
ALBERTO FILHO,548,Maranhão,PMDB,284,11,10,205,0.862180173,0.958823529,0.379228264,-0.925303221,0,0,0
ALBERTO FILHO,548,Maranhão,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALBERTO FRAGA,410,Distrito Federal,DEM,374,38,19,347,0.816951334,0.926735219,0.737942398,0.176853865,0,0,0
ALCEU MOREIRA,486,Rio Grande do Sul,MDB,23,2,2,30,0.833768964,0.929824561,0.52020824,0.278708398,0,0,0
ALCEU MOREIRA,486,Rio Grande do Sul,PMDB,297,40,26,234,0.758215904,0.889447236,0.603598535,-0.20658046,0,0,0
ALESSANDRO MOLON,287,Rio de Janeiro,PSB,13,4,7,63,0.725614965,0.873563218,-0.2298408,0.973228276,0,0,0
ALESSANDRO MOLON,287,Rio de Janeiro,PT,77,11,2,94,0.843372405,0.929347826,-0.928193688,0.313839197,0,0,0
ALESSANDRO MOLON,287,Rio de Janeiro,REDE,90,24,25,251,0.718044519,0.874358974,-0.368905187,0.929467022,0,0,0
ALEX CANZIANI,445,Paraná,PTB,216,29,23,143,0.727170646,0.873479319,0.355724841,-0.550151229,0,0,0
ALEX MANENTE,331,São Paulo,PPS,273,26,45,246,0.745648503,0.879661017,0.563118041,0.826376438,0,0,0
